t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
41974.290530,0.012888,-0.004181,0.001631,0.341024,0.585937,-0.735106,0.321879,0.063090,0.358423,-0.874040
41974.295512,0.013130,-0.004603,0.001406,0.340783,0.586359,-0.734881,0.321773,0.062929,0.358608,-0.874015
41974.300494,0.004616,-0.002852,0.001783,0.340538,0.586775,-0.734662,0.321649,0.062776,0.358787,-0.873998
41974.305476,0.004846,-0.003254,0.001568,0.340308,0.587177,-0.734448,0.321518,0.062634,0.358961,-0.873985
41974.310458,0.010789,0.001876,0.004305,0.340102,0.587556,-0.734240,0.321388,0.062510,0.359127,-0.873973
41974.315440,0.010958,0.001522,0.004100,0.339933,0.587910,-0.734035,0.321264,0.062406,0.359288,-0.873960
41974.320422,0.002614,-0.001471,0.003813,0.339778,0.588263,-0.733824,0.321144,0.062307,0.359452,-0.873944
41974.325404,0.002764,-0.001830,0.003595,0.339628,0.588622,-0.733606,0.321029,0.062208,0.359621,-0.873924
41974.330386,0.001402,-0.008291,0.008539,0.339495,0.588964,-0.733392,0.320919,0.062119,0.359785,-0.873904
41974.335368,0.001503,-0.008574,0.008358,0.339394,0.589247,-0.733212,0.320817,0.062053,0.359921,-0.873889
41974.340350,0.003805,-0.001268,0.005618,0.339335,0.589464,-0.733065,0.320738,0.062013,0.360030,-0.873876
41974.345332,0.003810,-0.001485,0.005445,0.339329,0.589681,-0.732893,0.320694,0.061985,0.360155,-0.873843
41974.350314,0.000612,-0.000548,0.002105,0.339369,0.589979,-0.732634,0.320689,0.061947,0.360341,-0.873771
41974.355296,0.000555,-0.000911,0.001785,0.339427,0.590343,-0.732315,0.320707,0.061894,0.360571,-0.873673
41974.360278,0.003448,0.001736,0.010868,0.339479,0.590687,-0.732013,0.320718,0.061846,0.360788,-0.873583
41974.365260,0.003408,0.001456,0.010623,0.339518,0.590967,-0.731769,0.320698,0.061818,0.360963,-0.873520
41974.370242,0.007009,-0.002869,0.023879,0.339534,0.591171,-0.731597,0.320644,0.061806,0.361084,-0.873491
41974.375224,0.007000,-0.002993,0.023774,0.339542,0.591296,-0.731492,0.320578,0.061813,0.361156,-0.873485
41974.380206,-0.006964,0.006427,0.004640,0.339575,0.591352,-0.731432,0.320526,0.061839,0.361193,-0.873487
41974.385188,-0.007017,0.006400,0.004593,0.339629,0.591379,-0.731385,0.320481,0.061879,0.361218,-0.873490
41974.390170,0.000886,0.008710,0.002831,0.339675,0.591419,-0.731331,0.320420,0.061919,0.361248,-0.873497
41974.395152,0.000854,0.008653,0.002770,0.339707,0.591475,-0.731271,0.320339,0.061957,0.361284,-0.873509
41974.400134,0.000177,-0.006724,0.009596,0.339727,0.591532,-0.731215,0.320239,0.061997,0.361316,-0.873530
41974.405116,0.000155,-0.006768,0.009550,0.339749,0.591576,-0.731169,0.320143,0.062039,0.361340,-0.873552
41974.410098,-0.008038,-0.007847,0.007636,0.339764,0.591633,-0.731116,0.320062,0.062068,0.361372,-0.873566
41974.415080,-0.008041,-0.007937,0.007562,0.339767,0.591723,-0.731042,0.319980,0.062085,0.361420,-0.873575
41974.420062,0.002801,-0.008667,0.006832,0.339743,0.591828,-0.730968,0.319879,0.062095,0.361470,-0.873591
41974.425044,0.002832,-0.008766,0.006766,0.339713,0.591927,-0.730902,0.319760,0.062109,0.361513,-0.873616
41974.430026,-0.007021,0.004218,0.004510,0.339678,0.592019,-0.730844,0.319634,0.062125,0.361550,-0.873645
41974.435008,-0.006985,0.004133,0.004458,0.339642,0.592104,-0.730792,0.319508,0.062142,0.361583,-0.873676
41974.439990,-0.002499,0.012295,0.002334,0.339611,0.592182,-0.730742,0.319391,0.062159,0.361614,-0.873705
41974.444972,-0.002472,0.012198,0.002267,0.339585,0.592279,-0.730676,0.319289,0.062169,0.361658,-0.873723
41974.449954,-0.005617,0.005895,0.004338,0.339571,0.592387,-0.730595,0.319218,0.062170,0.361714,-0.873726
41974.454936,-0.005665,0.005844,0.004274,0.339619,0.592438,-0.730531,0.319187,0.062196,0.361754,-0.873719
41974.459918,-0.002105,0.002151,-0.001367,0.339721,0.592393,-0.730520,0.319171,0.062263,0.361750,-0.873722
