t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
40209.404549,-0.005203,-0.023466,0.009934,0.652511,0.730634,0.201004,0.586509,-0.728730,0.263541,0.235597
40209.409531,0.000355,-0.003204,0.005038,0.652385,0.730743,0.201017,0.586558,-0.728719,0.263585,0.235461
40209.414513,0.000490,-0.003316,0.005007,0.652251,0.730855,0.201047,0.586600,-0.728715,0.263626,0.235322
40209.419495,0.004927,-0.001795,0.008557,0.652132,0.730951,0.201083,0.586636,-0.728712,0.263667,0.235195
40209.424477,0.005033,-0.001892,0.008566,0.652026,0.731048,0.201075,0.586690,-0.728692,0.263716,0.235070
40209.429459,0.002042,-0.006845,0.011249,0.651965,0.731119,0.201016,0.586760,-0.728644,0.263791,0.234957
40209.434441,0.002074,-0.006890,0.011310,0.651933,0.731164,0.200955,0.586826,-0.728591,0.263882,0.234856
40209.439423,-0.001578,-0.008889,0.004552,0.651938,0.731164,0.200939,0.586863,-0.728550,0.263976,0.234783
40209.444405,-0.001589,-0.008865,0.004500,0.651949,0.731140,0.200990,0.586864,-0.728537,0.264063,0.234725
40209.449387,-0.008818,-0.025976,0.010747,0.651976,0.731084,0.201106,0.586829,-0.728548,0.264143,0.234688
40209.454369,-0.008809,-0.025938,0.010583,0.651967,0.731047,0.201270,0.586774,-0.728587,0.264190,0.234651
40209.459351,-0.005644,-0.021042,0.002755,0.651930,0.731033,0.201439,0.586716,-0.728638,0.264208,0.234616
40209.464333,-0.005576,-0.021062,0.002608,0.651862,0.731054,0.201585,0.586672,-0.728690,0.264203,0.234572
40209.469315,-0.001678,-0.001818,-0.012801,0.651794,0.731081,0.201705,0.586636,-0.728736,0.264191,0.234534
40209.474297,-0.001587,-0.001868,-0.012914,0.651703,0.731131,0.201818,0.586602,-0.728788,0.264153,0.234497
40209.479279,-0.004102,-0.009123,-0.012288,0.651593,0.731200,0.201924,0.586574,-0.728842,0.264104,0.234454
40209.484261,-0.003973,-0.009207,-0.012398,0.651465,0.731284,0.202034,0.586549,-0.728899,0.264052,0.234399
40209.489243,-0.012115,-0.015701,-0.005463,0.651351,0.731353,0.202149,0.586517,-0.728958,0.263998,0.234357
40209.494225,-0.011992,-0.015774,-0.005594,0.651228,0.731427,0.202279,0.586477,-0.729027,0.263930,0.234319
40209.499207,-0.005831,-0.009860,0.000358,0.651110,0.731494,0.202416,0.586428,-0.729102,0.263853,0.234294
40209.504189,-0.005696,-0.009939,0.000210,0.650975,0.731573,0.202564,0.586375,-0.729187,0.263758,0.234270
