Weight (lbs):,10.886229826455354
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.20,-0.77,3395,0.75,7145
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.10,-0.60,19853,0.30,6978
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,0.89,7145
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.77,-4.87,6895,8.40,7061
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.29,-8.69,7061,5.24,6936
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.88,0.00,19978,12,7061
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.32,978,0.03,7561
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,-0.24,19978,0.09,16603
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.18,0.00,0,0.33,978
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,19978,0.10,7103
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,19978,0.01,6978
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,19978,0.10,7103
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.11,0.05,6895,0.20,7061
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,0.00,19978,0.06,6936
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.11,0.06,6895,0.20,7061
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11
2,0.02,-0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11
3,0.06,-0.04,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11
4,0.10,-0.10,0.03,0.11,-1.82,0.17,1.82,-0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09
5,0.14,-0.19,0.04,0.20,-2.51,0.34,2.54,-0.01,0.00,0.01,0.00,0.00,0.00,0.08,0.00,0.08
6,0.19,-0.31,0.06,0.32,-3.01,0.38,3.03,-0.02,0.01,0.02,0.00,0.00,0.00,0.07,0.00,0.07
7,0.23,-0.44,0.07,0.44,-3.02,0.50,3.06,-0.03,0.01,0.03,0.00,0.00,0.00,0.07,0.01,0.07
8,0.27,-0.55,0.10,0.56,-2.42,0.66,2.51,-0.05,0.01,0.05,0.00,0.00,0.00,0.08,0.01,0.08
9,0.31,-0.63,0.13,0.65,-1.34,0.65,1.49,-0.08,0.02,0.08,0.00,0.00,0.00,0.09,0.01,0.09
10,0.35,-0.66,0.15,0.68,-0.13,0.31,0.34,-0.11,0.02,0.11,0.00,0.00,0.00,0.11,0.00,0.11
11,0.40,-0.65,0.15,0.66,0.82,-0.16,0.84,-0.14,0.03,0.14,0.00,0.00,0.00,0.12,0.00,0.12
12,0.44,-0.60,0.14,0.62,1.32,-0.32,1.36,-0.16,0.04,0.17,0.00,0.00,0.00,0.12,0.00,0.12
13,0.48,-0.54,0.13,0.56,1.36,-0.08,1.37,-0.19,0.04,0.19,0.00,0.00,0.00,0.12,0.00,0.12
14,0.52,-0.49,0.13,0.51,1.14,0.16,1.15,-0.21,0.05,0.21,0.00,0.00,0.00,0.12,0.00,0.12
15,0.56,-0.45,0.14,0.47,0.96,0.10,0.96,-0.23,0.05,0.23,0.00,0.00,0.00,0.12,0.00,0.12
16,0.60,-0.41,0.14,0.43,1.08,-0.19,1.10,-0.25,0.06,0.25,0.00,0.00,0.00,0.12,0.00,0.12
17,0.65,-0.36,0.12,0.38,1.37,-0.46,1.45,-0.26,0.06,0.27,0.00,0.00,0.00,0.12,0.00,0.12
18,0.69,-0.30,0.10,0.31,1.45,-0.58,1.56,-0.28,0.07,0.29,0.00,0.00,0.00,0.12,0.00,0.12
19,0.73,-0.24,0.08,0.25,1.17,-0.51,1.28,-0.29,0.07,0.30,0.00,0.00,0.00,0.12,0.00,0.12
20,0.77,-0.20,0.06,0.21,0.75,-0.31,0.81,-0.30,0.08,0.31,0.00,0.00,0.00,0.11,0.00,0.11
21,0.81,-0.17,0.05,0.18,0.58,-0.10,0.58,-0.30,0.08,0.31,0.00,0.00,0.00,0.11,0.00,0.11
22,0.85,-0.15,0.05,0.16,0.77,-0.01,0.77,-0.31,0.08,0.32,0.00,0.00,0.00,0.12,0.00,0.12
23,0.90,-0.11,0.05,0.12,1.10,-0.08,1.10,-0.32,0.08,0.33,0.00,0.00,0.00,0.12,0.00,0.12
24,0.94,-0.06,0.04,0.07,1.27,-0.22,1.29,-0.32,0.08,0.33,0.00,0.00,0.00,0.12,0.00,0.12
25,0.98,-0.01,0.03,0.03,1.14,-0.27,1.17,-0.32,0.08,0.33,0.00,0.00,0.00,0.12,0.00,0.12
26,1.02,0.03,0.02,0.04,0.78,-0.19,0.80,-0.32,0.09,0.33,0.00,0.00,0.00,0.12,0.00,0.12
27,1.06,0.06,0.01,0.06,0.42,-0.17,0.45,-0.32,0.09,0.33,0.01,0.00,0.01,0.11,0.00,0.11
28,1.10,0.07,0.00,0.07,0.27,-0.26,0.38,-0.31,0.09,0.33,0.01,0.00,0.01,0.11,0.00,0.11
29,1.15,0.08,-0.01,0.08,0.39,-0.31,0.50,-0.31,0.09,0.32,0.01,0.00,0.01,0.11,0.00,0.11
30,1.19,0.11,-0.02,0.11,0.66,-0.23,0.70,-0.31,0.09,0.32,0.01,0.00,0.01,0.11,0.00,0.11
31,1.23,0.14,-0.03,0.14,0.81,-0.05,0.81,-0.30,0.08,0.32,0.02,0.00,0.02,0.12,0.00,0.12
32,1.27,0.17,-0.02,0.17,0.71,0.12,0.72,-0.30,0.08,0.31,0.02,0.00,0.02,0.11,0.00,0.11
33,1.31,0.20,-0.02,0.20,0.58,0.06,0.59,-0.29,0.08,0.30,0.02,0.00,0.02,0.11,0.00,0.11
34,1.35,0.22,-0.02,0.22,0.64,-0.18,0.66,-0.28,0.08,0.29,0.03,0.00,0.03,0.11,0.00,0.11
35,1.40,0.25,-0.03,0.25,0.82,-0.28,0.87,-0.27,0.08,0.28,0.03,0.00,0.03,0.12,0.00,0.12
36,1.44,0.29,-0.04,0.29,0.82,-0.16,0.83,-0.26,0.08,0.27,0.03,0.00,0.03,0.12,0.00,0.12
37,1.48,0.31,-0.04,0.32,0.50,-0.00,0.50,-0.25,0.08,0.26,0.04,0.00,0.04,0.11,0.00,0.11
38,1.52,0.33,-0.04,0.33,0.17,0.05,0.18,-0.23,0.08,0.24,0.04,0.00,0.04,0.11,0.00,0.11
39,1.56,0.33,-0.04,0.34,0.22,-0.03,0.22,-0.22,0.07,0.23,0.04,0.00,0.04,0.11,0.00,0.11
40,1.60,0.35,-0.05,0.35,0.59,-0.24,0.63,-0.21,0.07,0.22,0.04,0.00,0.04,0.11,0.00,0.11
41,1.65,0.38,-0.06,0.39,0.81,-0.43,0.92,-0.19,0.07,0.20,0.04,0.00,0.04,0.12,0.00,0.12
42,1.69,0.41,-0.08,0.42,0.47,-0.39,0.61,-0.17,0.07,0.19,0.05,0.00,0.05,0.11,0.00,0.11
43,1.73,0.42,-0.09,0.43,-0.04,-0.12,0.12,-0.16,0.06,0.17,0.04,0.00,0.04,0.11,0.00,0.11
44,1.77,0.41,-0.09,0.42,-0.22,0.21,0.30,-0.14,0.06,0.15,0.04,0.00,0.04,0.10,0.00,0.10
45,1.81,0.40,-0.08,0.41,-0.17,0.29,0.34,-0.12,0.06,0.13,0.04,0.00,0.04,0.10,0.00,0.10
46,1.85,0.40,-0.07,0.41,0.01,-0.00,0.01,-0.11,0.05,0.12,0.04,0.00,0.04,0.11,0.00,0.11
47,1.90,0.40,-0.08,0.41,0.21,-0.40,0.45,-0.09,0.05,0.10,0.04,0.00,0.04,0.11,0.00,0.11
48,1.94,0.41,-0.10,0.42,0.13,-0.45,0.47,-0.07,0.05,0.09,0.04,0.00,0.04,0.11,0.00,0.11
49,1.98,0.41,-0.11,0.43,-0.03,-0.13,0.13,-0.05,0.04,0.07,0.04,0.00,0.04,0.11,0.00,0.11
50,2.02,0.41,-0.11,0.42,-0.32,0.17,0.36,-0.04,0.04,0.05,0.04,0.00,0.04,0.10,0.00,0.10
51,2.06,0.38,-0.10,0.39,-1.10,0.32,1.15,-0.02,0.03,0.04,0.04,0.00,0.04,0.09,0.00,0.09
52,2.10,0.31,-0.08,0.32,-1.99,0.44,2.04,-0.00,0.03,0.03,0.03,0.00,0.03,0.09,0.00,0.09
53,2.15,0.22,-0.07,0.23,-2.54,0.42,2.57,0.01,0.03,0.03,0.02,0.00,0.02,0.08,0.00,0.08
54,2.19,0.11,-0.05,0.12,-2.47,0.32,2.49,0.02,0.02,0.03,0.01,0.00,0.01,0.08,0.00,0.08
55,2.23,0.02,-0.04,0.04,-1.64,0.27,1.66,0.02,0.02,0.03,0.00,0.00,0.00,0.09,0.00,0.09
56,2.27,-0.02,-0.03,0.04,-0.56,0.24,0.61,0.01,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
57,2.31,-0.03,-0.02,0.03,0.23,0.27,0.36,0.01,0.02,0.02,0.00,0.00,0.00,0.11,0.00,0.11
58,2.35,-0.01,-0.00,0.01,0.53,0.31,0.61,0.01,0.02,0.02,0.00,0.00,0.00,0.11,0.00,0.11
59,2.40,0.01,0.01,0.01,0.38,0.19,0.42,0.01,0.02,0.02,0.00,0.00,0.00,0.11,0.00,0.11
60,2.44,0.02,0.01,0.02,0.18,-0.02,0.18,0.01,0.02,0.02,0.00,0.00,0.00,0.11,0.00,0.11
61,2.48,0.03,0.01,0.03,0.10,-0.17,0.20,0.01,0.02,0.02,0.00,0.00,0.00,0.11,0.00,0.11
62,2.52,0.03,-0.00,0.03,-0.05,-0.16,0.17,0.02,0.02,0.03,0.00,0.00,0.00,0.11,0.00,0.11
63,2.56,0.02,-0.01,0.02,-0.22,-0.07,0.23,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
64,2.60,0.01,-0.01,0.01,-0.30,0.01,0.30,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
65,2.65,-0.00,-0.00,0.00,-0.29,0.12,0.31,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
66,2.69,-0.01,0.00,0.01,-0.12,0.08,0.14,0.02,0.02,0.03,0.00,0.00,0.00,0.11,0.00,0.11
67,2.73,-0.01,0.00,0.01,0.16,-0.08,0.18,0.02,0.02,0.03,0.00,0.00,0.00,0.11,0.00,0.11
68,2.77,0.00,-0.00,0.00,0.29,-0.10,0.31,0.02,0.02,0.03,0.00,0.00,0.00,0.11,0.00,0.11
69,2.81,0.01,-0.01,0.01,0.16,0.01,0.16,0.02,0.02,0.03,0.00,0.00,0.00,0.11,0.00,0.11
70,2.85,0.01,-0.00,0.01,-0.07,0.14,0.16,0.02,0.02,0.03,0.00,0.00,0.00,0.11,0.00,0.11
71,2.90,0.01,0.00,0.01,-0.21,0.20,0.29,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
72,2.94,-0.00,0.01,0.01,-0.24,0.10,0.26,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
73,2.98,-0.01,0.01,0.02,-0.28,-0.03,0.29,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
74,3.02,-0.03,0.01,0.03,-0.39,-0.01,0.40,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
75,3.06,-0.05,0.01,0.05,-0.76,0.09,0.77,0.02,0.02,0.03,0.00,0.00,0.00,0.10,0.00,0.10
76,3.10,-0.10,0.02,0.10,-1.50,0.11,1.50,0.01,0.02,0.02,0.00,0.00,0.00,0.09,0.00,0.09
77,3.15,-0.18,0.02,0.18,-2.41,0.10,2.41,0.01,0.02,0.02,0.00,0.00,0.00,0.08,0.00,0.08
78,3.19,-0.30,0.03,0.30,-3.24,0.15,3.24,0.00,0.02,0.02,0.00,0.00,0.00,0.07,0.00,0.07
79,3.23,-0.44,0.03,0.44,-3.71,0.30,3.72,-0.01,0.02,0.03,0.00,0.00,0.00,0.07,0.00,0.07
80,3.27,-0.59,0.05,0.59,-3.35,0.44,3.37,-0.03,0.02,0.04,0.00,0.00,0.00,0.07,0.00,0.07
81,3.31,-0.71,0.07,0.71,-2.13,0.39,2.17,-0.06,0.03,0.07,0.00,0.00,0.00,0.08,0.00,0.08
82,3.35,-0.77,0.08,0.77,-0.72,0.23,0.75,-0.10,0.03,0.10,0.00,0.00,0.00,0.10,0.00,0.10
83,3.40,-0.77,0.09,0.78,0.50,0.08,0.51,-0.13,0.04,0.14,0.00,0.00,0.00,0.11,0.00,0.11
84,3.44,-0.73,0.09,0.73,1.55,-0.01,1.55,-0.16,0.04,0.17,0.00,0.00,0.00,0.12,0.00,0.12
85,3.48,-0.65,0.09,0.66,2.10,0.01,2.10,-0.19,0.04,0.20,0.00,0.00,0.00,0.13,0.00,0.13
86,3.52,-0.56,0.09,0.57,1.99,0.11,1.99,-0.22,0.05,0.22,0.00,0.00,0.00,0.13,0.00,0.13
87,3.56,-0.49,0.10,0.50,1.60,0.08,1.61,-0.24,0.05,0.25,0.00,0.00,0.00,0.12,0.00,0.12
88,3.60,-0.43,0.10,0.44,1.11,-0.14,1.12,-0.26,0.05,0.26,0.00,0.00,0.00,0.12,0.00,0.12
89,3.65,-0.39,0.08,0.40,0.95,-0.44,1.05,-0.27,0.06,0.28,0.00,0.00,0.00,0.12,0.00,0.12
90,3.69,-0.34,0.06,0.35,1.52,-0.67,1.66,-0.29,0.06,0.30,0.00,0.00,0.00,0.12,0.00,0.12
