Weight (lbs):,111.13026281173174
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.45,-1.28,25650,1.09,8189
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,-0.09,31441,0.20,44651
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.48,0.00,44776,1.28,25650
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.22,-7.37,11481,5.05,20733
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.18,-0.69,3398,0.91,44651
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.29,0.00,44776,7.37,11481
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.79,30233,0.03,8398
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.02,5565,0.10,30816
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.44,0.00,0,0.79,30233
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.49,0.00,44776,1.35,8148
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,44776,0.02,44651
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.49,0.00,44776,1.35,8148
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.27,11481,1.65,20733
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,44776,0.10,44651
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.27,11481,1.65,20733
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
2,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
3,0.06,-0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
4,0.10,-0.01,0.01,0.02,-0.22,0.19,0.30,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.02,1.07
5,0.15,-0.02,0.02,0.03,-0.14,0.21,0.26,-0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.02,1.07
6,0.19,-0.02,0.03,0.04,-0.06,0.09,0.10,-0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.01,1.08
7,0.23,-0.03,0.03,0.04,0.03,-0.04,0.05,-0.00,0.00,0.01,0.00,0.00,0.00,1.09,0.00,1.09
8,0.27,-0.02,0.03,0.04,0.04,-0.08,0.09,-0.00,0.01,0.01,0.00,0.00,0.00,1.09,0.00,1.09
9,0.31,-0.02,0.02,0.03,0.00,-0.09,0.09,-0.00,0.01,0.01,0.00,0.00,0.00,1.09,0.00,1.09
10,0.35,-0.02,0.02,0.03,0.03,-0.07,0.08,-0.01,0.01,0.01,0.00,0.00,0.00,1.09,0.00,1.09
11,0.40,-0.02,0.02,0.03,0.04,-0.05,0.06,-0.01,0.01,0.01,0.00,0.00,0.00,1.09,0.00,1.09
12,0.44,-0.02,0.02,0.03,0.04,0.01,0.04,-0.01,0.01,0.01,0.00,0.00,0.00,1.09,0.00,1.09
13,0.48,-0.02,0.02,0.03,0.09,0.08,0.12,-0.01,0.01,0.01,0.00,0.00,0.00,1.10,0.01,1.10
14,0.52,-0.01,0.02,0.03,0.07,0.04,0.08,-0.01,0.01,0.01,0.00,0.00,0.00,1.10,0.00,1.10
15,0.56,-0.01,0.02,0.02,0.05,-0.07,0.09,-0.01,0.01,0.02,0.00,0.00,0.00,1.10,0.00,1.10
