Weight (lbs):,83.91468824559335
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.39,-1.03,2048,0.72,1615
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.08,-0.21,21115,0.36,25648
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.42,0.00,25915,1.04,2048
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.19,-7.37,1881,5.95,981
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.31,-1.29,1948,1.39,12115
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.30,0.00,25915,7.42,1881
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.46,17915,0.03,16280
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.07,-0.08,915,0.29,25915
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.21,0.00,0,0.46,17915
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.33,0.00,25915,0.62,1581
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,25915,0.02,25181
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.33,0.00,25915,0.62,1581
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.82,0.20,1881,1.32,981
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,0.00,25915,0.12,12115
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.82,0.20,1881,1.32,981
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.82
2,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.82
3,0.05,-0.01,0.00,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.82
4,0.08,-0.01,-0.00,0.01,0.22,-0.31,0.38,-0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.84
5,0.12,-0.00,-0.02,0.02,0.00,-0.37,0.37,-0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.82
6,0.15,-0.01,-0.03,0.03,-0.56,-0.14,0.57,-0.00,-0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.78
7,0.18,-0.04,-0.03,0.05,-1.07,0.05,1.07,-0.00,-0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.73
8,0.21,-0.08,-0.03,0.09,-1.54,-0.06,1.54,-0.00,-0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.69
9,0.25,-0.14,-0.03,0.15,-2.11,-0.39,2.15,-0.01,-0.00,0.01,0.00,0.00,0.00,0.65,0.00,0.65
10,0.28,-0.22,-0.05,0.23,-2.80,-0.60,2.86,-0.01,-0.00,0.01,0.00,0.00,0.00,0.59,0.00,0.59
11,0.32,-0.33,-0.07,0.34,-3.66,-0.61,3.71,-0.02,-0.01,0.02,0.00,0.00,0.00,0.52,0.00,0.52
12,0.35,-0.47,-0.09,0.48,-4.39,-0.57,4.43,-0.03,-0.01,0.03,0.00,0.00,0.00,0.45,0.00,0.45
13,0.38,-0.61,-0.11,0.62,-4.29,-0.44,4.31,-0.05,-0.01,0.05,0.00,0.00,0.00,0.46,0.00,0.46
14,0.41,-0.74,-0.12,0.75,-3.08,-0.38,3.11,-0.07,-0.02,0.07,0.00,0.00,0.00,0.56,0.00,0.56
15,0.45,-0.82,-0.13,0.83,-1.48,-0.43,1.54,-0.10,-0.02,0.10,0.00,0.00,0.00,0.70,0.00,0.70
16,0.48,-0.84,-0.15,0.85,-0.19,-0.37,0.41,-0.13,-0.03,0.13,0.00,0.00,0.00,0.81,0.00,0.81
17,0.52,-0.83,-0.16,0.85,0.64,-0.38,0.74,-0.16,-0.03,0.16,0.00,0.00,0.00,0.88,0.00,0.88
18,0.55,-0.81,-0.17,0.83,0.94,-0.30,0.98,-0.19,-0.04,0.19,0.00,0.00,0.00,0.90,0.00,0.90
19,0.58,-0.77,-0.18,0.79,1.20,0.04,1.20,-0.21,-0.04,0.22,0.00,0.00,0.00,0.92,0.00,0.92
20,0.61,-0.72,-0.17,0.74,1.68,0.27,1.70,-0.24,-0.05,0.24,0.00,0.00,0.00,0.96,0.02,0.96
21,0.65,-0.67,-0.16,0.69,1.40,0.37,1.45,-0.26,-0.05,0.27,0.00,0.00,0.00,0.94,0.03,0.94
22,0.68,-0.64,-0.15,0.66,0.26,0.44,0.51,-0.28,-0.06,0.29,0.00,0.00,0.00,0.84,0.04,0.85
23,0.71,-0.65,-0.13,0.66,-0.63,0.49,0.80,-0.30,-0.06,0.31,0.00,0.00,0.00,0.77,0.04,0.77
