Weight (lbs):,149.68566011376112
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.41,-2.51,34900,1.26,35033
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.14,11033,0.11,6000
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.42,0.00,35350,2.51,34900
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.82,-11,35266,20,35000
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.46,-2.63,14600,2.74,34783
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,2.10,0.00,35350,20,14600
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.37,-0.02,30766,0.64,13883
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.03,-0.06,30950,0.03,10466
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.29,0.00,0,0.64,13883
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.59,0.00,35350,4.58,35016
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,35350,0.02,10033
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.59,0.00,35350,4.58,35016
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.46,0.00,35283,4.46,35000
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.09,0.00,35350,0.41,34783
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.45,0.00,35266,4.47,10866
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,1.47
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,1.47,0.00,1.47
3,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.01,0.00,0.01,1.47,0.00,1.47
4,0.04,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,1.47,0.00,1.47
5,0.05,0.02,0.03,0.04,-0.72,0.50,0.88,0.00,0.00,0.00,0.02,0.00,0.02,1.36,0.08,1.36
6,0.07,0.01,0.04,0.04,-0.41,0.23,0.47,0.00,0.00,0.00,0.01,0.00,0.01,1.41,0.03,1.41
7,0.09,0.00,0.04,0.04,-0.18,-0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,1.44
8,0.10,-0.00,0.04,0.04,-0.16,-0.42,0.45,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,1.44
9,0.12,-0.01,0.03,0.03,-0.25,-0.61,0.66,0.00,0.00,0.01,0.00,0.00,0.00,1.43,0.00,1.43
10,0.14,-0.01,0.02,0.02,-0.29,-0.65,0.71,0.00,0.00,0.01,0.00,0.00,0.00,1.43,0.00,1.43
11,0.15,-0.01,0.01,0.02,-0.26,-0.49,0.56,0.00,0.00,0.01,0.00,0.00,0.00,1.43,0.00,1.43
12,0.17,-0.02,0.00,0.02,-0.18,-0.17,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,1.44
13,0.18,-0.02,0.00,0.02,-0.07,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.01,1.46
14,0.20,-0.02,0.00,0.02,0.05,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.01,1.48
15,0.22,-0.02,0.00,0.02,0.20,-0.05,0.21,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,1.50
16,0.23,-0.01,0.00,0.01,0.31,-0.01,0.31,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,1.51
17,0.25,-0.01,0.00,0.01,0.33,0.14,0.36,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.02,1.52
18,0.27,-0.00,0.00,0.01,0.33,0.17,0.37,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.03,1.52
19,0.28,0.00,0.01,0.01,0.24,0.06,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.01,1.50
