Weight (lbs):,129.27397918915733
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.46,-2.00,25658,0.92,9825
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.12,32891,0.13,30608
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.43,0.00,38723,2.00,25658
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.63,-9.90,7158,20,37390
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.34,-1.70,11108,2.11,2541
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.82,0.00,38723,20,11108
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.39,-0.01,21625,0.65,6075
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,-0.03,33175,0.07,24941
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.37,0.00,0,0.65,6075
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.57,0.00,38723,1.39,37406
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,38723,0.01,30575
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.57,0.00,38723,1.39,37406
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.26,0.00,7158,3.85,37390
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,0.00,38723,0.27,2541
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.26,0.03,37473,3.85,25725
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,1.27
2,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,1.27
3,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,1.27
4,0.04,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,1.27,0.00,1.27
5,0.06,0.00,0.01,0.01,-0.47,0.07,0.48,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.01,1.21
6,0.07,-0.01,0.01,0.01,-0.63,0.32,0.71,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.04,1.19
7,0.09,-0.02,0.02,0.02,-0.62,0.52,0.81,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.07,1.19
8,0.11,-0.03,0.02,0.04,-0.40,0.49,0.63,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.06,1.22
9,0.12,-0.03,0.03,0.04,0.07,0.15,0.16,-0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.02,1.28
10,0.14,-0.02,0.03,0.04,0.68,-0.37,0.78,-0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.00,1.36
11,0.16,-0.01,0.02,0.02,1.05,-0.75,1.29,-0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40
12,0.17,0.01,0.01,0.01,0.91,-0.78,1.20,-0.00,0.00,0.00,0.01,0.00,0.01,1.39,0.00,1.39
13,0.19,0.02,-0.00,0.02,0.43,-0.45,0.62,-0.00,0.00,0.00,0.03,0.00,0.03,1.32,0.00,1.32
14,0.21,0.02,-0.01,0.02,-0.07,0.04,0.08,-0.00,0.00,0.00,0.03,0.00,0.03,1.26,0.01,1.26
15,0.23,0.02,-0.00,0.02,-0.45,0.52,0.68,0.00,0.00,0.00,0.02,0.00,0.02,1.21,0.07,1.21
16,0.24,0.01,0.01,0.01,-0.60,0.74,0.95,0.00,0.00,0.00,0.01,0.00,0.01,1.19,0.10,1.19
17,0.26,0.00,0.02,0.02,-0.36,0.59,0.70,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.08,1.22
18,0.28,-0.00,0.03,0.03,0.09,0.36,0.37,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.05,1.28
19,0.29,0.00,0.03,0.03,0.30,0.28,0.41,-0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.04,1.31
20,0.31,0.01,0.04,0.04,0.18,0.24,0.30,-0.00,0.00,0.00,0.01,0.00,0.01,1.29,0.03,1.29
21,0.33,0.01,0.04,0.04,0.03,0.04,0.05,0.00,0.00,0.00,0.01,0.00,0.01,1.27,0.01,1.27
22,0.34,0.01,0.04,0.04,-0.03,-0.21,0.21,0.00,0.01,0.01,0.01,0.00,0.01,1.26,0.00,1.26
23,0.36,0.01,0.03,0.03,0.00,-0.35,0.35,0.00,0.01,0.01,0.01,0.00,0.01,1.27,0.00,1.27
24,0.38,0.01,0.03,0.03,0.11,-0.39,0.41,0.00,0.01,0.01,0.01,0.00,0.01,1.28,0.00,1.28
25,0.39,0.01,0.02,0.02,0.27,-0.43,0.51,0.00,0.01,0.01,0.02,0.00,0.02,1.30,0.00,1.30
26,0.41,0.02,0.01,0.02,0.34,-0.35,0.49,0.00,0.01,0.01,0.02,0.00,0.02,1.31,0.00,1.31
27,0.42,0.02,0.01,0.02,0.22,-0.12,0.25,0.00,0.01,0.01,0.03,0.00,0.03,1.30,0.00,1.30
28,0.44,0.02,0.01,0.02,-0.02,0.02,0.02,0.00,0.01,0.01,0.03,0.00,0.03,1.27,0.00,1.27
29,0.46,0.02,0.01,0.02,-0.14,-0.04,0.15,0.00,0.01,0.01,0.03,0.00,0.03,1.25,0.00,1.25
30,0.47,0.02,0.01,0.02,0.04,-0.08,0.09,0.00,0.01,0.01,0.03,0.00,0.03,1.27,0.00,1.27
31,0.49,0.02,0.01,0.03,0.42,-0.00,0.42,0.00,0.01,0.01,0.03,0.00,0.03,1.32,0.00,1.32
32,0.51,0.03,0.01,0.04,0.75,0.06,0.75,0.00,0.01,0.01,0.05,0.00,0.05,1.37,0.01,1.37
33,0.53,0.05,0.01,0.05,0.89,-0.00,0.89,0.00,0.01,0.01,0.07,0.00,0.07,1.38,0.00,1.38
34,0.54,0.06,0.01,0.06,0.79,-0.08,0.79,0.00,0.01,0.01,0.09,0.00,0.09,1.37,0.00,1.37
35,0.56,0.07,0.00,0.07,0.37,-0.07,0.38,0.01,0.01,0.01,0.10,0.00,0.10,1.32,0.00,1.32
36,0.57,0.07,0.00,0.07,-0.18,0.06,0.19,0.01,0.01,0.01,0.09,0.00,0.09,1.25,0.01,1.25
37,0.59,0.07,0.01,0.07,-0.37,0.20,0.43,0.01,0.01,0.01,0.08,0.00,0.08,1.22,0.03,1.22
38,0.61,0.07,0.01,0.07,-0.01,0.29,0.29,0.01,0.01,0.01,0.08,0.00,0.08,1.27,0.04,1.27
39,0.62,0.07,0.02,0.07,0.54,0.32,0.62,0.01,0.01,0.01,0.09,0.00,0.09,1.34,0.04,1.34
40,0.64,0.08,0.02,0.09,0.92,0.32,0.98,0.01,0.01,0.01,0.11,0.00,0.11,1.39,0.04,1.39
