t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
47245.439073,0.009879,-0.040810,-0.013252,0.177713,-0.026466,-0.983726,-0.078881,0.087887,-0.020312,-0.992795
47245.444055,0.011489,-0.040207,-0.012979,0.176103,-0.027069,-0.984000,-0.078999,0.087049,-0.020558,-0.992854
47245.449037,0.016020,-0.024833,-0.009775,0.174578,-0.027535,-0.984258,-0.079138,0.086259,-0.020741,-0.992908
47245.454019,0.017658,-0.024263,-0.009502,0.172939,-0.028105,-0.984531,-0.079293,0.085408,-0.020972,-0.992964
47245.459001,0.015453,-0.001551,-0.006760,0.171406,-0.028570,-0.984786,-0.079475,0.084612,-0.021158,-0.993014
47245.463983,0.017094,-0.001030,-0.006492,0.169766,-0.029091,-0.985055,-0.079685,0.083761,-0.021368,-0.993065
47245.468965,0.016833,0.018825,-0.014094,0.168210,-0.029460,-0.985311,-0.079931,0.082957,-0.021509,-0.993110
47245.473946,0.018500,0.019248,-0.013824,0.166543,-0.029883,-0.985581,-0.080195,0.082095,-0.021673,-0.993156
47245.478928,0.020031,0.043769,-0.012825,0.164997,-0.030173,-0.985832,-0.080493,0.081299,-0.021779,-0.993195
47245.483910,0.021687,0.044154,-0.012561,0.163341,-0.030559,-0.986096,-0.080820,0.080442,-0.021929,-0.993235
47245.488892,0.024389,0.065569,-0.001148,0.161814,-0.030825,-0.986340,-0.081185,0.079655,-0.022028,-0.993267
47245.493874,0.026035,0.065939,-0.000891,0.160168,-0.031195,-0.986597,-0.081574,0.078803,-0.022174,-0.993299
47245.498856,0.023917,0.088976,0.011878,0.158624,-0.031435,-0.986839,-0.081994,0.078007,-0.022262,-0.993326
47245.503838,0.025555,0.089305,0.012130,0.156986,-0.031764,-0.987090,-0.082434,0.077160,-0.022391,-0.993353
47245.508820,0.030890,0.093434,0.028903,0.155481,-0.031941,-0.987322,-0.082908,0.076385,-0.022452,-0.993372
47245.513802,0.032464,0.093695,0.029141,0.153907,-0.032202,-0.987560,-0.083409,0.075572,-0.022554,-0.993390
47245.518784,0.025692,0.105856,0.042572,0.152469,-0.032370,-0.987778,-0.083934,0.074830,-0.022615,-0.993400
47245.523765,0.027199,0.106151,0.042794,0.150963,-0.032665,-0.988000,-0.084473,0.074049,-0.022737,-0.993410
47245.528747,0.029908,0.111514,0.047839,0.149551,-0.032870,-0.988208,-0.085033,0.073318,-0.022820,-0.993415
47245.533729,0.031374,0.111768,0.048051,0.148085,-0.033124,-0.988420,-0.085596,0.072558,-0.022924,-0.993420
47245.538711,0.035050,0.091334,0.063836,0.146682,-0.033244,-0.988625,-0.086160,0.071835,-0.022962,-0.993423
47245.543693,0.036552,0.091432,0.064054,0.145180,-0.033342,-0.988843,-0.086711,0.071064,-0.022984,-0.993430
47245.548675,0.053198,0.058508,0.081258,0.143687,-0.033239,-0.989065,-0.087252,0.070306,-0.022904,-0.993438
47245.553657,0.054788,0.058295,0.081495,0.142096,-0.033027,-0.989302,-0.087765,0.069505,-0.022762,-0.993453
