t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
76549.621103,-0.001530,-0.004434,0.006265,-0.005230,0.088220,-0.996087,0.769650,-0.032347,-0.030167,0.636932
76549.624830,0.000885,-0.002667,0.012267,-0.005661,0.088482,-0.996062,0.769649,-0.032311,-0.030417,0.636923
76549.629812,0.000868,-0.002698,0.012264,-0.005644,0.088513,-0.996059,0.769647,-0.032328,-0.030420,0.636924
76549.634794,0.001631,0.001528,0.002676,-0.005751,0.088911,-0.996023,0.769641,-0.032448,-0.030588,0.636918
76549.639775,0.001632,0.001505,0.002674,-0.005752,0.088934,-0.996021,0.769640,-0.032456,-0.030596,0.636919
76549.644757,0.001927,0.006378,-0.005183,-0.005696,0.089096,-0.996007,0.769637,-0.032537,-0.030626,0.636917
76549.649739,0.001939,0.006361,-0.005185,-0.005708,0.089114,-0.996005,0.769640,-0.032540,-0.030636,0.636912
76549.654720,0.000748,0.001657,-0.001854,-0.005600,0.089072,-0.996009,0.769640,-0.032558,-0.030582,0.636913
76549.659702,0.000755,0.001627,-0.001857,-0.005607,0.089101,-0.996007,0.769640,-0.032567,-0.030594,0.636913
76549.664683,0.002526,0.000525,-0.001202,-0.005715,0.088938,-0.996021,0.769646,-0.032470,-0.030583,0.636911
76549.669665,0.002534,0.000507,-0.001204,-0.005723,0.088955,-0.996019,0.769647,-0.032474,-0.030591,0.636909
76549.674647,0.001307,-0.002040,-0.001404,-0.005930,0.088618,-0.996048,0.769655,-0.032278,-0.030563,0.636910
76549.679628,0.001312,-0.002077,-0.001407,-0.005935,0.088655,-0.996045,0.769656,-0.032291,-0.030577,0.636908
76549.684610,0.004043,-0.004917,0.006813,-0.006149,0.088352,-0.996070,0.769663,-0.032106,-0.030562,0.636910
76549.689592,0.004038,-0.004957,0.006809,-0.006143,0.088392,-0.996067,0.769659,-0.032123,-0.030573,0.636913
76549.694573,0.003395,-0.004040,0.011879,-0.006172,0.088177,-0.996086,0.769663,-0.032031,-0.030516,0.636915
76549.699555,0.003391,-0.004084,0.011875,-0.006168,0.088221,-0.996082,0.769663,-0.032049,-0.030528,0.636915
76549.704536,0.000503,-0.002223,0.006644,-0.006088,0.088191,-0.996085,0.769662,-0.032063,-0.030488,0.636916
76549.709518,0.000492,-0.002281,0.006639,-0.006077,0.088249,-0.996080,0.769661,-0.032089,-0.030502,0.636915
76549.714500,0.000242,0.001412,-0.002884,-0.005964,0.088447,-0.996063,0.769656,-0.032201,-0.030522,0.636916
76549.719481,0.000240,0.001362,-0.002889,-0.005962,0.088497,-0.996059,0.769653,-0.032221,-0.030537,0.636918
76549.724463,0.000149,0.003234,-0.004419,-0.005841,0.088898,-0.996024,0.769643,-0.032414,-0.030619,0.636916
76549.729445,0.000160,0.003181,-0.004424,-0.005852,0.088951,-0.996019,0.769643,-0.032431,-0.030640,0.636913
76549.734426,0.001378,0.001713,-0.001735,-0.005803,0.089092,-0.996006,0.769642,-0.032501,-0.030666,0.636910
76549.739408,0.001381,0.001658,-0.001740,-0.005806,0.089147,-0.996002,0.769643,-0.032522,-0.030685,0.636907
76549.744389,0.000138,0.000430,0.000896,-0.005692,0.089200,-0.995997,0.769642,-0.032579,-0.030658,0.636906
76549.749371,0.000145,0.000394,0.000892,-0.005699,0.089236,-0.995994,0.769642,-0.032590,-0.030672,0.636906
76549.754353,-0.002098,0.000403,0.003952,-0.005653,0.089151,-0.996002,0.769643,-0.032572,-0.030627,0.636908
76549.759334,-0.002098,0.000349,0.003947,-0.005653,0.089205,-0.995997,0.769643,-0.032593,-0.030645,0.636906
76549.764316,-0.001735,-0.002944,0.009533,-0.005498,0.089034,-0.996013,0.769644,-0.032577,-0.030530,0.636910
76549.769298,-0.001731,-0.002990,0.009529,-0.005502,0.089080,-0.996009,0.769647,-0.032593,-0.030546,0.636905
76549.774279,-0.001057,0.000411,0.005679,-0.005398,0.088960,-0.996021,0.769651,-0.032580,-0.030467,0.636905
76549.779261,-0.001049,0.000364,0.005675,-0.005405,0.089007,-0.996016,0.769652,-0.032596,-0.030485,0.636902
76549.784242,-0.002126,0.001605,-0.001858,-0.005412,0.088956,-0.996021,0.769654,-0.032574,-0.030471,0.636901
76549.789224,-0.002122,0.001542,-0.001864,-0.005416,0.089019,-0.996015,0.769654,-0.032597,-0.030493,0.636899
76549.794206,-0.001146,-0.000096,-0.002085,-0.005446,0.089101,-0.996008,0.769654,-0.032619,-0.030531,0.636896
76549.799187,-0.001137,-0.000152,-0.002090,-0.005454,0.089156,-0.996003,0.769653,-0.032638,-0.030552,0.636896
76549.804169,-0.000393,-0.001760,-0.001129,-0.005467,0.089330,-0.995987,0.769651,-0.032701,-0.030612,0.636891
76549.809151,-0.000387,-0.001836,-0.001136,-0.005472,0.089406,-0.995980,0.769652,-0.032729,-0.030638,0.636888
76549.814132,-0.000487,-0.002043,0.001538,-0.005433,0.089537,-0.995969,0.769648,-0.032792,-0.030665,0.636888
76549.819114,-0.000469,-0.002109,0.001532,-0.005452,0.089603,-0.995963,0.769645,-0.032811,-0.030693,0.636889
76549.824095,0.001916,-0.000286,0.001633,-0.005471,0.089672,-0.995956,0.769642,-0.032832,-0.030723,0.636891
76549.829077,0.001914,-0.000354,0.001626,-0.005469,0.089740,-0.995950,0.769637,-0.032859,-0.030744,0.636894
76549.834059,0.001640,0.000710,0.003419,-0.005562,0.089820,-0.995942,0.769636,-0.032860,-0.030806,0.636892
76549.839040,0.001631,0.000645,0.003413,-0.005553,0.089886,-0.995937,0.769635,-0.032888,-0.030823,0.636891
76549.844022,0.002067,0.000095,0.005861,-0.005622,0.089810,-0.995943,0.769639,-0.032837,-0.030825,0.636888
76549.849004,0.002067,0.000055,0.005858,-0.005623,0.089850,-0.995939,0.769641,-0.032852,-0.030838,0.636886
76549.853985,0.002187,0.002579,0.001627,-0.005681,0.089889,-0.995936,0.769642,-0.032849,-0.030873,0.636882
76549.858967,0.002192,0.002534,0.001623,-0.005687,0.089934,-0.995932,0.769643,-0.032864,-0.030890,0.636880
76549.863949,0.002748,0.002582,-0.000551,-0.005815,0.090008,-0.995924,0.769645,-0.032853,-0.030963,0.636874
76549.868930,0.002746,0.002540,-0.000555,-0.005813,0.090050,-0.995920,0.769647,-0.032869,-0.030975,0.636870
76549.873912,0.003192,0.001863,0.000014,-0.005862,0.089995,-0.995925,0.769651,-0.032833,-0.030976,0.636867
76549.878893,0.003183,0.001825,0.000011,-0.005853,0.090032,-0.995922,0.769652,-0.032850,-0.030985,0.636865
76549.883875,0.001910,0.000560,0.002254,-0.005847,0.089864,-0.995937,0.769655,-0.032787,-0.030928,0.636867
76549.888857,0.001911,0.000508,0.002249,-0.005848,0.089916,-0.995932,0.769653,-0.032806,-0.030946,0.636867
76549.893838,0.002596,-0.000769,0.000660,-0.005861,0.089773,-0.995945,0.769656,-0.032747,-0.030905,0.636869
76549.898820,0.002601,-0.000821,0.000655,-0.005867,0.089826,-0.995940,0.769656,-0.032766,-0.030924,0.636867
76549.903802,0.001593,-0.000734,-0.001344,-0.005698,0.089845,-0.995939,0.769654,-0.032827,-0.030865,0.636869
76549.908783,0.001593,-0.000779,-0.001349,-0.005698,0.089891,-0.995935,0.769652,-0.032845,-0.030880,0.636871
76549.913765,0.000547,-0.001828,0.001861,-0.005568,0.090009,-0.995925,0.769646,-0.032932,-0.030868,0.636873
76549.918746,0.000548,-0.001880,0.001856,-0.005568,0.090060,-0.995921,0.769647,-0.032951,-0.030884,0.636871
76549.923728,-0.000463,-0.001341,0.006641,-0.005382,0.090147,-0.995914,0.769643,-0.033044,-0.030840,0.636873
76549.928710,-0.000458,-0.001384,0.006637,-0.005386,0.090191,-0.995910,0.769639,-0.033060,-0.030856,0.636876
76549.933691,-0.001447,0.001733,0.004645,-0.005191,0.090460,-0.995887,0.769632,-0.033226,-0.030867,0.636875
76549.938673,-0.001459,0.001703,0.004642,-0.005179,0.090490,-0.995884,0.769633,-0.033241,-0.030872,0.636873
76549.943655,-0.002779,0.003156,0.000288,-0.004957,0.090732,-0.995863,0.769627,-0.033405,-0.030863,0.636872
76549.948636,-0.002776,0.003120,0.000285,-0.004960,0.090768,-0.995860,0.769627,-0.033418,-0.030876,0.636870
76549.953618,-0.001444,0.003031,0.000013,-0.004705,0.090917,-0.995847,0.769621,-0.033557,-0.030826,0.636873
76549.958599,-0.001447,0.003020,0.000012,-0.004702,0.090928,-0.995846,0.769623,-0.033563,-0.030828,0.636871
76549.963581,-0.001203,0.002499,-0.001344,-0.004626,0.090915,-0.995848,0.769624,-0.033582,-0.030795,0.636870
76549.968563,-0.001196,0.002477,-0.001347,-0.004633,0.090938,-0.995846,0.769624,-0.033588,-0.030805,0.636869
76549.973544,-0.002920,0.000885,-0.001090,-0.004526,0.090805,-0.995858,0.769624,-0.033571,-0.030721,0.636873
76549.978526,-0.002921,0.000868,-0.001091,-0.004525,0.090822,-0.995857,0.769623,-0.033578,-0.030726,0.636874
76549.983508,-0.002295,-0.001053,-0.000302,-0.004495,0.090699,-0.995868,0.769624,-0.033540,-0.030675,0.636877
76549.988489,-0.002291,-0.001060,-0.000302,-0.004500,0.090705,-0.995868,0.769624,-0.033541,-0.030679,0.636878
76549.993471,-0.002928,-0.002481,0.005034,-0.004534,0.090585,-0.995878,0.769627,-0.033484,-0.030654,0.636877
76549.998452,-0.002925,-0.002504,0.005032,-0.004536,0.090608,-0.995876,0.769626,-0.033492,-0.030662,0.636878
76550.003434,-0.001294,-0.003192,0.006850,-0.004596,0.090579,-0.995879,0.769624,-0.033461,-0.030676,0.636881
76550.008416,-0.001303,-0.003217,0.006848,-0.004587,0.090604,-0.995876,0.769623,-0.033474,-0.030680,0.636882
76550.013397,0.000038,-0.001354,0.002702,-0.004677,0.090710,-0.995866,0.769622,-0.033486,-0.030749,0.636879
76550.018379,0.000037,-0.001373,0.002701,-0.004676,0.090729,-0.995865,0.769619,-0.033494,-0.030755,0.636882
76550.023361,0.000488,0.001911,-0.000367,-0.004806,0.090893,-0.995849,0.769615,-0.033516,-0.030858,0.636881
76550.028342,0.000484,0.001888,-0.000369,-0.004802,0.090916,-0.995847,0.769613,-0.033526,-0.030864,0.636882
