t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
76338.273788,0.000190,0.001962,-0.000077,-0.022025,-0.011285,-0.999694,0.765453,0.011406,-0.004800,0.643372
76338.278769,0.000586,-0.001111,0.007216,-0.022024,-0.011279,-0.999694,0.765452,0.011404,-0.004802,0.643374
76338.283751,0.000581,-0.001114,0.007217,-0.022019,-0.011276,-0.999694,0.765449,0.011401,-0.004801,0.643378
76338.288733,0.000234,-0.001858,0.008697,-0.022008,-0.011265,-0.999694,0.765450,0.011393,-0.004800,0.643377
76338.293715,0.000232,-0.001863,0.008697,-0.022007,-0.011259,-0.999694,0.765450,0.011390,-0.004801,0.643376
76338.298697,0.000260,0.000808,0.002838,-0.022003,-0.011276,-0.999694,0.765449,0.011395,-0.004795,0.643378
76338.303679,0.000266,0.000821,0.002837,-0.022010,-0.011288,-0.999694,0.765445,0.011402,-0.004793,0.643382
76338.308660,0.000836,0.004037,-0.001512,-0.022015,-0.011300,-0.999694,0.765441,0.011409,-0.004791,0.643387
76338.313642,0.000849,0.004053,-0.001512,-0.022028,-0.011317,-0.999693,0.765440,0.011419,-0.004791,0.643388
76338.318624,-0.000176,0.003249,-0.002229,-0.022026,-0.011305,-0.999693,0.765442,0.011414,-0.004794,0.643386
76338.323606,-0.000164,0.003257,-0.002229,-0.022037,-0.011314,-0.999693,0.765442,0.011421,-0.004795,0.643386
76338.328588,-0.001089,0.000991,-0.000612,-0.022043,-0.011260,-0.999694,0.765442,0.011403,-0.004815,0.643385
76338.333570,-0.001072,0.000996,-0.000612,-0.022061,-0.011265,-0.999693,0.765444,0.011410,-0.004820,0.643384
76338.338552,-0.000546,-0.001648,0.000563,-0.022068,-0.011215,-0.999694,0.765442,0.011393,-0.004839,0.643386
76338.343533,-0.000554,-0.001649,0.000564,-0.022060,-0.011214,-0.999694,0.765441,0.011390,-0.004836,0.643388
76338.348515,-0.000019,-0.001845,0.004928,-0.022045,-0.011186,-0.999694,0.765438,0.011374,-0.004839,0.643391
76338.353497,-0.000036,-0.001835,0.004928,-0.022028,-0.011196,-0.999695,0.765432,0.011373,-0.004830,0.643398
76338.358479,-0.002399,-0.001579,0.007111,-0.022015,-0.011177,-0.999695,0.765427,0.011362,-0.004830,0.643404
76338.363461,-0.002409,-0.001579,0.007111,-0.022005,-0.011177,-0.999695,0.765425,0.011359,-0.004827,0.643407
76338.368443,-0.002218,0.000525,0.002625,-0.022013,-0.011175,-0.999695,0.765424,0.011360,-0.004830,0.643408
76338.373424,-0.002224,0.000531,0.002625,-0.022007,-0.011182,-0.999695,0.765422,0.011361,-0.004826,0.643410
76338.378406,-0.002686,0.004560,-0.000702,-0.022034,-0.011182,-0.999695,0.765422,0.011369,-0.004836,0.643410
76338.383388,-0.002682,0.004574,-0.000702,-0.022037,-0.011197,-0.999694,0.765424,0.011376,-0.004832,0.643408
76338.388370,-0.001533,0.004992,0.000563,-0.022087,-0.011172,-0.999694,0.765424,0.011383,-0.004860,0.643407
76338.393352,-0.001532,0.005001,0.000563,-0.022088,-0.011181,-0.999694,0.765429,0.011387,-0.004857,0.643402
76338.398334,-0.002344,0.002844,-0.000154,-0.022131,-0.011145,-0.999693,0.765431,0.011387,-0.004885,0.643399
76338.403315,-0.002335,0.002863,-0.000155,-0.022140,-0.011163,-0.999693,0.765431,0.011396,-0.004883,0.643398
76338.408297,-0.001228,-0.000990,-0.003589,-0.022209,-0.011111,-0.999692,0.765431,0.011399,-0.004926,0.643398
76338.413279,-0.001212,-0.000980,-0.003590,-0.022226,-0.011120,-0.999691,0.765429,0.011408,-0.004930,0.643400
76338.418261,-0.001361,-0.003566,0.000789,-0.022275,-0.011082,-0.999690,0.765428,0.011409,-0.004960,0.643401
76338.423243,-0.001356,-0.003562,0.000789,-0.022280,-0.011087,-0.999690,0.765428,0.011412,-0.004961,0.643402
76338.428225,0.000255,-0.003469,0.006190,-0.022319,-0.011058,-0.999690,0.765427,0.011414,-0.004985,0.643402
76338.433206,0.000242,-0.003480,0.006190,-0.022307,-0.011046,-0.999690,0.765426,0.011405,-0.004984,0.643404
76338.438188,0.001131,-0.001234,0.007412,-0.023226,-0.011766,-0.999661,0.765420,0.011977,-0.005104,0.643400
76338.443170,0.001121,-0.001235,0.007413,-0.023215,-0.011765,-0.999661,0.765419,0.011973,-0.005101,0.643401
76338.448152,0.002193,0.002618,0.002831,-0.023601,-0.011376,-0.999657,0.765415,0.011948,-0.005373,0.643404
76338.453134,0.002185,0.002624,0.002831,-0.023593,-0.011383,-0.999657,0.765416,0.011948,-0.005368,0.643403
76338.458116,0.001933,0.003684,-0.001664,-0.023860,-0.010185,-0.999663,0.765413,0.011575,-0.005856,0.643409
76338.463097,0.001938,0.003675,-0.001664,-0.023865,-0.010175,-0.999663,0.765414,0.011573,-0.005861,0.643408
76338.468079,0.002313,0.003582,-0.004312,-0.023843,-0.009472,-0.999671,0.765416,0.011297,-0.006079,0.643408
76338.473061,0.002334,0.003593,-0.004312,-0.023864,-0.009482,-0.999670,0.765421,0.011308,-0.006084,0.643402
76338.478043,0.004989,0.000462,-0.005183,-0.023956,-0.009343,-0.999669,0.765425,0.011284,-0.006164,0.643396
76338.483025,0.004998,0.000468,-0.005183,-0.023964,-0.009349,-0.999669,0.765425,0.011289,-0.006165,0.643396
76338.488007,0.003597,-0.002283,-0.002148,-0.023906,-0.009650,-0.999668,0.765425,0.011385,-0.006046,0.643396
76338.492989,0.003594,-0.002280,-0.002148,-0.023904,-0.009652,-0.999668,0.765426,0.011386,-0.006044,0.643395
76338.497970,0.004017,-0.005187,0.004897,-0.023884,-0.010117,-0.999664,0.765428,0.011557,-0.005887,0.643391
76338.502952,0.004018,-0.005189,0.004897,-0.023885,-0.010116,-0.999664,0.765429,0.011557,-0.005888,0.643390
76338.507934,0.002138,-0.004050,0.008147,-0.023729,-0.010507,-0.999663,0.765429,0.011657,-0.005702,0.643390
76338.512916,0.002133,-0.004057,0.008147,-0.023724,-0.010500,-0.999663,0.765425,0.011652,-0.005703,0.643395
76338.517898,0.001383,-0.002370,0.006760,-0.023585,-0.010722,-0.999664,0.765423,0.011692,-0.005578,0.643397
76338.522880,0.001380,-0.002389,0.006760,-0.023582,-0.010703,-0.999665,0.765424,0.011684,-0.005583,0.643396
76338.527861,0.000866,0.000834,0.001517,-0.023419,-0.010538,-0.999670,0.765425,0.011569,-0.005573,0.643397
76338.532843,0.000862,0.000808,0.001517,-0.023414,-0.010512,-0.999671,0.765422,0.011557,-0.005580,0.643401
76338.537825,0.001675,0.004967,-0.004246,-0.023327,-0.010261,-0.999675,0.765421,0.011433,-0.005627,0.643404
76338.542807,0.001688,0.004974,-0.004247,-0.023340,-0.010269,-0.999675,0.765420,0.011440,-0.005630,0.643404
76338.547789,0.000224,0.004180,-0.005264,-0.023234,-0.010009,-0.999680,0.765424,0.011307,-0.005673,0.643402
76338.552771,0.000239,0.004175,-0.005264,-0.023249,-0.010004,-0.999680,0.765428,0.011310,-0.005680,0.643397
76338.557752,-0.001043,0.001574,-0.002283,-0.023036,-0.009936,-0.999685,0.765431,0.011215,-0.005621,0.643396
76338.562734,-0.001033,0.001570,-0.002283,-0.023046,-0.009932,-0.999685,0.765431,0.011217,-0.005626,0.643395
76338.567716,-0.001579,-0.000971,0.004509,-0.022896,-0.010030,-0.999688,0.765430,0.011206,-0.005537,0.643398
76338.572698,-0.001588,-0.000990,0.004510,-0.022887,-0.010012,-0.999688,0.765428,0.011196,-0.005539,0.643400
76338.577680,-0.001096,-0.004690,0.008081,-0.022723,-0.010279,-0.999689,0.765431,0.011246,-0.005391,0.643397
76338.582662,-0.001102,-0.004713,0.008082,-0.022717,-0.010256,-0.999689,0.765434,0.011235,-0.005396,0.643394
76338.587643,-0.000908,-0.003386,0.005121,-0.022666,-0.010423,-0.999689,0.765435,0.011283,-0.005322,0.643392
76338.592625,-0.000910,-0.003401,0.005121,-0.022665,-0.010408,-0.999689,0.765433,0.011276,-0.005327,0.643395
76338.597607,-0.000824,-0.001514,0.002725,-0.022659,-0.010510,-0.999688,0.765429,0.011313,-0.005292,0.643399
76338.602589,-0.000819,-0.001535,0.002725,-0.022664,-0.010488,-0.999688,0.765426,0.011307,-0.005301,0.643402
76338.607571,-0.000714,0.002111,-0.000540,-0.022663,-0.010442,-0.999689,0.765423,0.011289,-0.005315,0.643407
76338.612553,-0.000711,0.002099,-0.000540,-0.022665,-0.010431,-0.999689,0.765419,0.011285,-0.005319,0.643412
76338.617535,-0.000926,0.002779,-0.002857,-0.022634,-0.010255,-0.999691,0.765415,0.011208,-0.005364,0.643417
76338.622516,-0.000920,0.002774,-0.002857,-0.022639,-0.010251,-0.999691,0.765413,0.011208,-0.005367,0.643420
76338.627498,0.000040,0.003773,-0.003314,-0.022653,-0.010090,-0.999692,0.765415,0.011151,-0.005424,0.643418
76338.632480,0.000057,0.003765,-0.003314,-0.022671,-0.010082,-0.999692,0.765418,0.011154,-0.005434,0.643414
76338.637462,0.000802,0.001475,0.000790,-0.022729,-0.010020,-0.999691,0.765416,0.011149,-0.005476,0.643416
76338.642444,0.000797,0.001480,0.000790,-0.022724,-0.010025,-0.999691,0.765411,0.011149,-0.005472,0.643422
76338.647426,0.002044,-0.000907,0.003749,-0.022781,-0.010064,-0.999690,0.765407,0.011182,-0.005482,0.643426
76338.652407,0.002043,-0.000915,0.003749,-0.022780,-0.010056,-0.999690,0.765407,0.011179,-0.005484,0.643426
76338.657389,0.001363,-0.001133,0.005532,-0.022817,-0.010204,-0.999688,0.765409,0.011247,-0.005450,0.643423
76338.662371,0.001363,-0.001159,0.005532,-0.022817,-0.010179,-0.999688,0.765405,0.011238,-0.005458,0.643428
76338.667353,0.002480,-0.004457,0.001669,-0.022881,-0.010253,-0.999686,0.765386,0.011287,-0.005458,0.643450
76338.672335,0.002546,-0.004473,0.001668,-0.022947,-0.010237,-0.999684,0.765351,0.011302,-0.005488,0.643491
76338.677317,0.005209,-0.022138,-0.030471,-0.023047,-0.010409,-0.999680,0.765321,0.011400,-0.005471,0.643524
76338.682299,0.005294,-0.021935,-0.030475,-0.023131,-0.010612,-0.999676,0.765336,0.011505,-0.005438,0.643505
76338.687280,-0.002899,0.054036,-0.064213,-0.023194,-0.010503,-0.999676,0.765373,0.011483,-0.005498,0.643462
76338.692262,-0.002877,0.053596,-0.064209,-0.023215,-0.010063,-0.999680,0.765403,0.011321,-0.005648,0.643427
76338.697244,-0.002782,-0.011972,0.115577,-0.023157,-0.009498,-0.999687,0.765430,0.011086,-0.005808,0.643397
76338.702226,-0.002870,-0.012310,0.115582,-0.023070,-0.009160,-0.999692,0.765437,0.010929,-0.005884,0.643392
76338.707208,-0.001193,-0.035353,0.068861,-0.023008,-0.009249,-0.999692,0.765419,0.010943,-0.005831,0.643413
76338.712190,-0.001248,-0.034852,0.068857,-0.022953,-0.009749,-0.999689,0.765377,0.011117,-0.005648,0.643461
76338.717171,0.007721,-0.019907,-0.077355,-0.022888,-0.010107,-0.999687,0.765330,0.011234,-0.005507,0.643517
76338.722153,0.007709,-0.019878,-0.077355,-0.022876,-0.010136,-0.999687,0.765316,0.011241,-0.005493,0.643533
76338.727135,-0.000380,0.024298,0.008113,-0.022813,-0.009970,-0.999690,0.765340,0.011157,-0.005523,0.643506
76338.732117,-0.000408,0.024072,0.008116,-0.022785,-0.009744,-0.999693,0.765379,0.011061,-0.005586,0.643460
76338.737099,-0.010041,0.074207,0.017318,-0.022780,-0.009617,-0.999694,0.765406,0.011011,-0.005625,0.643428
76338.742081,-0.010006,0.074133,0.017318,-0.022815,-0.009542,-0.999694,0.765411,0.010993,-0.005663,0.643423
76338.747062,0.007400,-0.044318,-0.045595,-0.022827,-0.009576,-0.999694,0.765412,0.011010,-0.005656,0.643422
76338.752044,0.007480,-0.044200,-0.045597,-0.022906,-0.009694,-0.999691,0.765407,0.011081,-0.005649,0.643426
76338.757026,0.003956,-0.010867,-0.048777,-0.022923,-0.010221,-0.999685,0.765390,0.011288,-0.005485,0.643444
76338.762008,0.003994,-0.010667,-0.048780,-0.022960,-0.010421,-0.999682,0.765372,0.011377,-0.005435,0.643464
76338.766990,0.002059,-0.025637,0.015313,-0.022994,-0.009778,-0.999688,0.765369,0.011142,-0.005654,0.643470
