t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
75755.647147,0.026531,-0.006245,-0.003825,-0.125774,0.110997,-0.985830,-0.755629,0.083376,0.011551,0.649569
75755.652129,0.026924,-0.005919,-0.003838,-0.126168,0.110671,-0.985816,-0.755523,0.083383,0.011794,0.649687
75755.657111,0.034085,-0.013763,-0.022091,-0.126858,0.110458,-0.985752,-0.755332,0.083533,0.012104,0.649884
75755.662093,0.035037,-0.013751,-0.022213,-0.127810,0.110446,-0.985630,-0.755089,0.083847,0.012442,0.650120
75755.667075,0.061488,-0.047928,-0.019237,-0.128809,0.110779,-0.985462,-0.754869,0.084308,0.012689,0.650310
75755.672057,0.062635,-0.048649,-0.019469,-0.129956,0.111500,-0.985231,-0.754755,0.084964,0.012881,0.650354
75755.677039,0.114222,-0.108796,-0.009804,-0.131312,0.112413,-0.984947,-0.754743,0.085760,0.013103,0.650259
75755.682021,0.115652,-0.109635,-0.010092,-0.132742,0.113252,-0.984659,-0.754779,0.086552,0.013385,0.650106
75755.687003,0.182231,-0.130365,-0.009216,-0.134258,0.113932,-0.984375,-0.754846,0.087311,0.013756,0.649919
75755.691985,0.183779,-0.131023,-0.009505,-0.135805,0.114589,-0.984087,-0.754940,0.088071,0.014151,0.649699
75755.696967,0.150260,-0.157887,-0.051196,-0.137382,0.115361,-0.983777,-0.755060,0.088884,0.014523,0.649441
75755.701949,0.151810,-0.158993,-0.051544,-0.138932,0.116467,-0.983429,-0.755286,0.089813,0.014793,0.649044
75755.706931,0.074847,-0.161008,-0.060025,-0.140521,0.118130,-0.983005,-0.755771,0.090964,0.014935,0.648315
75755.711913,0.076567,-0.163076,-0.060523,-0.142240,0.120199,-0.982507,-0.756505,0.092307,0.015034,0.647266
75755.716895,0.126756,-0.139500,-0.020635,-0.144060,0.122242,-0.981990,-0.757296,0.093672,0.015192,0.646141
75755.721877,0.128675,-0.141585,-0.021180,-0.145979,0.124327,-0.981444,-0.758055,0.095086,0.015375,0.645038
75755.726859,0.263534,-0.173952,-0.001647,-0.147979,0.126741,-0.980836,-0.758812,0.096655,0.015488,0.643911
75755.731842,0.265688,-0.176693,-0.002333,-0.150133,0.129482,-0.980150,-0.759573,0.098401,0.015561,0.642748
75755.736823,0.178671,-0.229726,-0.036137,-0.152411,0.132375,-0.979412,-0.760299,0.100248,0.015634,0.641600
75755.741806,0.181047,-0.232760,-0.036924,-0.154787,0.135409,-0.978624,-0.760994,0.102183,0.015701,0.640469
75755.746788,0.181503,-0.224323,-0.007549,-0.157165,0.138569,-0.977803,-0.761720,0.104168,0.015740,0.639284
75755.751770,0.183846,-0.227638,-0.008404,-0.159508,0.141883,-0.976947,-0.762551,0.106200,0.015740,0.637958
75755.756752,0.126504,-0.204624,-0.045878,-0.161798,0.145329,-0.976064,-0.763526,0.108264,0.015710,0.636443
75755.761734,0.128801,-0.208214,-0.046803,-0.164095,0.148918,-0.975139,-0.764616,0.110386,0.015665,0.634769
75755.766716,0.172231,-0.175200,-0.049676,-0.166402,0.152632,-0.974173,-0.765767,0.112560,0.015606,0.632998
