t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
40070.847896,0.142805,-0.128607,0.090136,0.014559,0.210028,-0.977587,-0.984444,0.103520,-0.022140,0.140226
40070.852878,0.142078,-0.131653,0.089465,0.015285,0.213074,-0.976916,-0.984711,0.105073,-0.022393,0.137123
40070.857860,0.141345,-0.104997,0.117040,0.016079,0.216478,-0.976155,-0.984952,0.106807,-0.022690,0.133970
40070.862842,0.140482,-0.108758,0.116183,0.016943,0.220239,-0.975299,-0.985177,0.108723,-0.023019,0.130671
40070.867824,0.155616,-0.047159,0.160098,0.018075,0.224100,-0.974399,-0.985384,0.110678,-0.023475,0.127348
40070.872806,0.154223,-0.050949,0.159192,0.019467,0.227890,-0.973492,-0.985561,0.112584,-0.024059,0.124158
40070.877788,0.138299,-0.006136,0.176814,0.020911,0.231645,-0.972576,-0.985723,0.114474,-0.024658,0.120992
40070.882770,0.136712,-0.009857,0.175885,0.022498,0.235367,-0.971646,-0.985880,0.116347,-0.025306,0.117743
40070.887752,0.118868,0.037362,0.178385,0.024336,0.239005,-0.970713,-0.986042,0.118173,-0.026046,0.114363
40070.892734,0.116705,0.033882,0.177465,0.026499,0.242485,-0.969793,-0.986200,0.119911,-0.026923,0.110934
40070.897716,0.094347,0.071833,0.169043,0.028959,0.245779,-0.968893,-0.986346,0.121545,-0.027934,0.107553
40070.902698,0.091632,0.068698,0.168157,0.031674,0.248914,-0.968008,-0.986480,0.123093,-0.029059,0.104220
40070.907680,0.040681,0.083311,0.141473,0.034667,0.251863,-0.967142,-0.986602,0.124541,-0.030310,0.100929
40070.912662,0.037481,0.080524,0.140623,0.037867,0.254650,-0.966292,-0.986720,0.125908,-0.031645,0.097624
40070.917644,0.049432,0.073281,0.128791,0.041266,0.257316,-0.965446,-0.986828,0.127215,-0.033066,0.094306
40070.922626,0.045851,0.070694,0.127938,0.044847,0.259903,-0.964593,-0.986920,0.128485,-0.034571,0.091022
40070.927608,0.065559,0.048748,0.104457,0.048577,0.262440,-0.963725,-0.986994,0.129734,-0.036147,0.087781
40070.932590,0.061699,0.046216,0.103561,0.052436,0.264972,-0.962829,-0.987049,0.130988,-0.037783,0.084555
40070.937572,0.082615,0.047170,0.080893,0.056438,0.267496,-0.961905,-0.987087,0.132245,-0.039483,0.081316
40070.942554,0.078474,0.044642,0.079934,0.060579,0.270025,-0.960946,-0.987108,0.133515,-0.041242,0.078046
