t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
90066.463912,0.110505,0.071108,-0.003798,-0.089585,0.111372,-0.989733,0.807858,-0.071558,-0.003628,-0.585006
90066.468894,0.111408,0.069574,-0.004054,-0.090488,0.112906,-0.989477,0.809256,-0.072441,-0.003724,-0.582960
90066.473876,0.141379,0.056924,0.012075,-0.091483,0.114234,-0.989233,0.810655,-0.073268,-0.003922,-0.580909
90066.478858,0.142462,0.055850,0.011850,-0.092566,0.115307,-0.989007,0.812056,-0.074016,-0.004235,-0.578851
90066.483840,0.136296,0.053897,0.032525,-0.093693,0.116102,-0.988808,0.813456,-0.074661,-0.004650,-0.576796
90066.488822,0.137467,0.053384,0.032353,-0.094865,0.116614,-0.988636,0.814856,-0.075200,-0.005169,-0.574741
90066.493803,0.122868,0.073302,0.018544,-0.096028,0.116823,-0.988499,0.816274,-0.075611,-0.005776,-0.572665
90066.498785,0.124032,0.073403,0.018442,-0.097191,0.116721,-0.988398,0.817715,-0.075889,-0.006477,-0.570562
90066.503759,0.104177,0.101072,-0.004093,-0.098303,0.116289,-0.988339,0.819179,-0.076013,-0.007255,-0.568433
90066.508741,0.105242,0.101821,-0.004112,-0.099368,0.115540,-0.988320,0.820662,-0.075989,-0.008107,-0.566280
90066.513723,0.082348,0.120753,-0.020053,-0.100353,0.114522,-0.988339,0.822155,-0.075825,-0.009003,-0.564119
90066.518705,0.083288,0.121962,-0.020010,-0.101293,0.113314,-0.988382,0.823642,-0.075566,-0.009933,-0.561965
90066.523687,0.066105,0.126876,-0.024410,-0.102177,0.112031,-0.988438,0.825110,-0.075255,-0.010857,-0.559832
90066.528668,0.066960,0.128092,-0.024362,-0.103032,0.110815,-0.988486,0.826553,-0.074960,-0.011746,-0.557722
90066.533650,0.071306,0.112584,-0.015086,-0.103883,0.109752,-0.988515,0.827965,-0.074725,-0.012587,-0.555636
90066.538632,0.072239,0.113466,-0.015087,-0.104817,0.108870,-0.988514,0.829346,-0.074586,-0.013408,-0.553572
90066.543614,0.082756,0.089474,0.002021,-0.105812,0.108158,-0.988487,0.830696,-0.074532,-0.014204,-0.551531
90066.548596,0.083841,0.089993,0.001961,-0.106897,0.107639,-0.988427,0.832017,-0.074581,-0.014983,-0.549509
90066.553578,0.096142,0.070226,-0.003458,-0.108059,0.107340,-0.988333,0.833306,-0.074741,-0.015730,-0.547510
90066.558560,0.097412,0.070313,-0.003588,-0.109329,0.107254,-0.988202,0.834555,-0.075019,-0.016462,-0.545545
90066.563542,0.091397,0.062856,-0.012141,-0.110669,0.107355,-0.988042,0.835767,-0.075393,-0.017169,-0.543613
90066.568524,0.092797,0.062552,-0.012332,-0.112069,0.107660,-0.987851,0.836941,-0.075868,-0.017846,-0.541715
90066.573506,0.075696,0.062329,-0.015614,-0.113476,0.108157,-0.987636,0.838081,-0.076425,-0.018471,-0.539850
90066.578488,0.077160,0.061674,-0.015855,-0.114941,0.108812,-0.987395,0.839185,-0.077063,-0.019077,-0.538021
90066.583470,0.058073,0.061764,-0.007742,-0.116453,0.109592,-0.987131,0.840249,-0.077766,-0.019668,-0.536234
90066.588452,0.059675,0.060885,-0.008030,-0.118055,0.110471,-0.986843,0.841271,-0.078535,-0.020268,-0.534496
90066.593434,0.044987,0.068939,-0.008261,-0.119709,0.111435,-0.986535,0.842247,-0.079353,-0.020866,-0.532812
90066.598416,0.046685,0.067868,-0.008591,-0.121408,0.112506,-0.986206,0.843173,-0.080230,-0.021451,-0.531190
90066.603398,0.043148,0.086943,-0.022460,-0.123119,0.113710,-0.985856,0.844051,-0.081166,-0.022003,-0.529628
90066.608380,0.044926,0.085594,-0.022840,-0.124897,0.115059,-0.985476,0.844890,-0.082182,-0.022544,-0.528109
90066.613361,0.047412,0.101460,-0.027523,-0.126742,0.116542,-0.985066,0.845695,-0.083274,-0.023078,-0.526624
90066.618343,0.049390,0.099839,-0.027973,-0.128720,0.118164,-0.984616,0.846463,-0.084461,-0.023632,-0.525175
90066.623325,0.056382,0.104207,-0.038043,-0.130814,0.119914,-0.984128,0.847195,-0.085733,-0.024202,-0.523759
90066.628307,0.058621,0.102335,-0.038573,-0.133053,0.121786,-0.983598,0.847889,-0.087097,-0.024801,-0.522382
90066.633289,0.056204,0.103877,-0.054613,-0.135367,0.123800,-0.983031,0.848544,-0.088542,-0.025395,-0.521046
90066.638271,0.058594,0.101680,-0.055224,-0.137756,0.125996,-0.982419,0.849156,-0.090087,-0.025973,-0.519753
90066.643253,0.048070,0.105389,-0.075385,-0.140203,0.128421,-0.981759,0.849726,-0.091746,-0.026515,-0.518502
90066.648235,0.050629,0.102723,-0.076106,-0.142762,0.131088,-0.981038,0.850254,-0.093540,-0.027043,-0.517289
90066.653217,0.041780,0.101442,-0.080609,-0.145433,0.133955,-0.980258,0.850741,-0.095452,-0.027567,-0.516109
90066.658199,0.044611,0.098402,-0.081454,-0.148264,0.136995,-0.979413,0.851188,-0.097483,-0.028116,-0.514962
90066.663181,0.046072,0.090369,-0.081188,-0.151235,0.140207,-0.978504,0.851599,-0.099626,-0.028682,-0.513840
90066.668163,0.049225,0.086993,-0.082171,-0.154388,0.143582,-0.977522,0.851975,-0.101890,-0.029287,-0.512737
90066.673145,0.052944,0.081343,-0.081210,-0.157681,0.147127,-0.976468,0.852317,-0.104265,-0.029910,-0.511655
90066.678127,0.056402,0.077619,-0.082343,-0.161139,0.150851,-0.975335,0.852614,-0.106764,-0.030559,-0.510604
90066.683109,0.057200,0.077974,-0.079328,-0.164713,0.154768,-0.974123,0.852867,-0.109382,-0.031209,-0.509587
90066.688091,0.060949,0.073878,-0.080630,-0.168463,0.158864,-0.972822,0.853072,-0.112125,-0.031889,-0.508605
90066.693073,0.057176,0.081848,-0.058273,-0.172365,0.163101,-0.971436,0.853231,-0.114975,-0.032599,-0.507657
90066.698054,0.061269,0.077535,-0.059742,-0.176457,0.167415,-0.969967,0.853346,-0.117911,-0.033373,-0.506738
90066.703036,0.062519,0.088247,-0.054354,-0.180683,0.171762,-0.968427,0.853423,-0.120901,-0.034197,-0.505848
90066.708018,0.066901,0.083863,-0.055971,-0.185065,0.176147,-0.966811,0.853458,-0.123952,-0.035079,-0.504989
90066.713000,0.076344,0.094110,-0.056321,-0.189564,0.180594,-0.965117,0.853452,-0.127066,-0.035996,-0.504162
90066.717982,0.081011,0.089584,-0.058108,-0.194231,0.185120,-0.963330,0.853398,-0.130263,-0.036965,-0.503365
90066.722964,0.092152,0.103061,-0.036385,-0.199040,0.189740,-0.961448,0.853293,-0.133546,-0.037969,-0.502609
90066.727946,0.097192,0.098387,-0.038378,-0.204079,0.194414,-0.959455,0.853124,-0.136919,-0.039056,-0.501903
90066.732928,0.101588,0.112536,-0.019075,-0.209315,0.199094,-0.957366,0.852901,-0.140354,-0.040223,-0.501241
90066.737910,0.107043,0.107904,-0.021260,-0.214770,0.203726,-0.955180,0.852626,-0.143833,-0.041495,-0.500619
90066.742892,0.105773,0.115378,-0.020702,-0.220366,0.208307,-0.952915,0.852305,-0.147334,-0.042838,-0.500034
90066.747874,0.111551,0.110838,-0.023062,-0.226145,0.212846,-0.950555,0.851932,-0.150874,-0.044267,-0.499490
90066.752856,0.107119,0.109065,-0.020967,-0.232074,0.217351,-0.948104,0.851507,-0.154446,-0.045766,-0.498987
90066.757838,0.113259,0.104580,-0.023532,-0.238214,0.221836,-0.945538,0.851020,-0.158077,-0.047356,-0.498532
90066.762820,0.101532,0.093929,-0.020823,-0.244507,0.226338,-0.942861,0.850464,-0.161767,-0.048998,-0.498138
90066.767802,0.108009,0.089397,-0.023627,-0.250983,0.230869,-0.940057,0.849827,-0.165533,-0.050700,-0.497818
90066.772784,0.091606,0.069514,-0.015828,-0.257591,0.235448,-0.937129,0.849109,-0.169370,-0.052433,-0.497573
90066.777765,0.098397,0.064902,-0.018895,-0.264382,0.240060,-0.934063,0.848301,-0.173288,-0.054221,-0.497411
90066.782747,0.083090,0.046479,-0.002132,-0.271292,0.244720,-0.930867,0.847408,-0.177277,-0.056031,-0.497326
90066.787729,0.090143,0.041805,-0.005461,-0.278345,0.249394,-0.927538,0.846427,-0.181330,-0.057882,-0.497323
90066.792711,0.076463,0.030327,0.000877,-0.285493,0.254051,-0.924095,0.845365,-0.185422,-0.059759,-0.497399
90066.797693,0.083773,0.025756,-0.002685,-0.292803,0.258622,-0.920533,0.844222,-0.189541,-0.061708,-0.497550
90066.802675,0.062366,0.031284,-0.003418,-0.300204,0.263058,-0.916885,0.843011,-0.193644,-0.063715,-0.497770
90066.807657,0.069912,0.027052,-0.007152,-0.307750,0.267290,-0.913152,0.841732,-0.197718,-0.065816,-0.498060
90066.812639,0.039647,0.049648,-0.011312,-0.315358,0.271275,-0.909373,0.840400,-0.201719,-0.067991,-0.498412
90066.817621,0.047322,0.045992,-0.015112,-0.323034,0.274931,-0.905573,0.839028,-0.205612,-0.070264,-0.498817
