t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
90820.107030,-0.000467,0.002013,-0.001897,-0.051276,-0.308928,-0.949702,-0.633798,-0.080514,0.136625,0.757067
90820.112012,-0.000115,0.001826,-0.004176,-0.051292,-0.308894,-0.949712,-0.633799,-0.080497,0.136617,0.757070
90820.116994,-0.000109,0.001812,-0.004171,-0.051298,-0.308880,-0.949717,-0.633797,-0.080489,0.136613,0.757074
90820.121976,-0.000455,0.001842,-0.001024,-0.051303,-0.308819,-0.949736,-0.633797,-0.080466,0.136591,0.757079
90820.126957,-0.000467,0.001838,-0.001022,-0.051291,-0.308814,-0.949738,-0.633795,-0.080469,0.136585,0.757082
90820.131939,0.000188,0.001995,0.000421,-0.051289,-0.308742,-0.949762,-0.633799,-0.080446,0.136556,0.757086
90820.138166,0.000182,0.001986,0.000424,-0.051284,-0.308734,-0.949765,-0.633796,-0.080444,0.136551,0.757090
90820.141928,-0.000187,0.001312,-0.000024,-0.051297,-0.308654,-0.949790,-0.633799,-0.080413,0.136524,0.757095
90820.146910,-0.000182,0.001306,-0.000022,-0.051301,-0.308649,-0.949792,-0.633801,-0.080410,0.136523,0.757095
90820.151892,0.001504,-0.000234,-0.000334,-0.051308,-0.308574,-0.949816,-0.633809,-0.080383,0.136495,0.757096
90820.156874,0.001500,-0.000242,-0.000331,-0.051305,-0.308565,-0.949819,-0.633810,-0.080381,0.136490,0.757096
90820.161855,0.001787,-0.000656,0.002258,-0.051301,-0.308487,-0.949844,-0.633814,-0.080357,0.136458,0.757101
90820.166837,0.001785,-0.000655,0.002258,-0.051299,-0.308488,-0.949844,-0.633815,-0.080358,0.136457,0.757100
90820.171819,0.001460,0.000462,0.001118,-0.051280,-0.308430,-0.949864,-0.633821,-0.080347,0.136428,0.757102
90820.176801,0.001465,0.000456,0.001120,-0.051285,-0.308424,-0.949866,-0.633822,-0.080343,0.136427,0.757101
90820.181783,0.001437,0.001663,-0.001154,-0.051272,-0.308380,-0.949881,-0.633824,-0.080333,0.136405,0.757105
90820.186764,0.001433,0.001667,-0.001155,-0.051268,-0.308383,-0.949880,-0.633824,-0.080336,0.136405,0.757104
90820.191746,0.000929,0.001634,-0.001107,-0.051237,-0.308335,-0.949897,-0.633825,-0.080332,0.136376,0.757109
90820.196728,0.000926,0.001642,-0.001110,-0.051234,-0.308344,-0.949894,-0.633823,-0.080335,0.136379,0.757110
90820.201710,0.002792,0.001176,-0.001462,-0.051208,-0.308305,-0.949908,-0.633823,-0.080332,0.136355,0.757115
90820.206691,0.002798,0.001193,-0.001468,-0.051214,-0.308322,-0.949903,-0.633821,-0.080335,0.136363,0.757115
90820.211673,0.002070,0.000488,0.000625,-0.051173,-0.308274,-0.949920,-0.633821,-0.080335,0.136331,0.757120
90820.216655,0.002073,0.000497,0.000623,-0.051176,-0.308282,-0.949918,-0.633823,-0.080337,0.136335,0.757118
90820.221637,0.001665,-0.001160,0.001538,-0.051134,-0.308243,-0.949932,-0.633825,-0.080340,0.136306,0.757121
90820.226619,0.001664,-0.001158,0.001537,-0.051133,-0.308245,-0.949932,-0.633823,-0.080340,0.136307,0.757123
90820.231600,0.000585,-0.000336,-0.000490,-0.051091,-0.308197,-0.949950,-0.633821,-0.080340,0.136274,0.757130
90820.236582,0.000587,-0.000341,-0.000488,-0.051094,-0.308192,-0.949951,-0.633819,-0.080337,0.136273,0.757132
90820.241564,0.000866,0.000244,0.000026,-0.051053,-0.308166,-0.949962,-0.633818,-0.080344,0.136250,0.757137
90820.246546,0.000871,0.000251,0.000023,-0.051057,-0.308174,-0.949959,-0.633819,-0.080345,0.136254,0.757135
90820.251527,-0.001115,0.000160,0.000766,-0.049941,-0.308372,-0.949954,-0.633749,-0.080830,0.135976,0.757192
90820.256509,-0.001121,0.000162,0.000765,-0.049935,-0.308374,-0.949954,-0.633746,-0.080833,0.135975,0.757194
90820.261491,-0.001072,0.000398,0.001282,-0.049862,-0.307451,-0.950257,-0.633797,-0.080555,0.135582,0.757252
90820.266473,-0.001082,0.000399,0.001283,-0.049852,-0.307451,-0.950257,-0.633797,-0.080559,0.135579,0.757251
90820.271454,-0.001413,-0.001062,0.001052,-0.049994,-0.307150,-0.950347,-0.633825,-0.080407,0.135504,0.757258
90820.276436,-0.001400,-0.001063,0.001052,-0.050007,-0.307149,-0.950347,-0.633826,-0.080402,0.135508,0.757257
90820.281418,-0.002016,-0.002662,0.001112,-0.049605,-0.307076,-0.950391,-0.633811,-0.080529,0.135349,0.757284
90820.286400,-0.002024,-0.002662,0.001112,-0.049596,-0.307076,-0.950392,-0.633811,-0.080532,0.135346,0.757284
90820.291382,-0.002650,-0.002349,0.000292,-0.049504,-0.307267,-0.950335,-0.633797,-0.080631,0.135393,0.757277
90820.296363,-0.002646,-0.002360,0.000295,-0.049509,-0.307256,-0.950338,-0.633800,-0.080625,0.135390,0.757276
90820.301345,-0.001705,-0.001260,0.000253,-0.049519,-0.307670,-0.950204,-0.633776,-0.080759,0.135559,0.757252
90820.306327,-0.001704,-0.001258,0.000252,-0.049520,-0.307672,-0.950203,-0.633777,-0.080759,0.135560,0.757251
90820.311309,-0.001951,-0.000023,-0.000110,-0.049654,-0.307777,-0.950162,-0.633775,-0.080743,0.135645,0.757239
90820.316290,-0.001955,-0.000012,-0.000113,-0.049651,-0.307788,-0.950159,-0.633773,-0.080747,0.135649,0.757239
90820.321272,-0.001494,0.000641,-0.000888,-0.049714,-0.307815,-0.950146,-0.633772,-0.080732,0.135680,0.757236
90820.326254,-0.001492,0.000645,-0.000890,-0.049716,-0.307819,-0.950145,-0.633768,-0.080732,0.135683,0.757239
90820.331236,-0.000624,-0.000381,-0.000402,-0.049867,-0.307892,-0.950114,-0.633768,-0.080699,0.135761,0.757228
90820.336218,-0.000626,-0.000380,-0.000402,-0.049866,-0.307893,-0.950113,-0.633765,-0.080699,0.135761,0.757231
90820.341199,-0.000076,-0.000890,0.000747,-0.049988,-0.307856,-0.950119,-0.633771,-0.080640,0.135786,0.757228
90820.346181,-0.000062,-0.000886,0.000745,-0.050002,-0.307861,-0.950117,-0.633771,-0.080636,0.135792,0.757227
90820.351163,0.000927,-0.001337,0.001423,-0.050137,-0.307913,-0.950092,-0.633776,-0.080603,0.135856,0.757214
90820.356145,0.000921,-0.001334,0.001422,-0.050131,-0.307916,-0.950092,-0.633776,-0.080607,0.135855,0.757214
90820.361126,0.000834,-0.002601,0.000940,-0.050242,-0.308068,-0.950037,-0.633769,-0.080614,0.135952,0.757202
90820.366108,0.000825,-0.002606,0.000942,-0.050233,-0.308063,-0.950039,-0.633767,-0.080616,0.135947,0.757205
90820.371090,0.001238,-0.001805,-0.000989,-0.050371,-0.308162,-0.950000,-0.633769,-0.080596,0.136031,0.757190
90820.376072,0.001236,-0.001801,-0.000991,-0.050369,-0.308166,-0.949998,-0.633766,-0.080598,0.136033,0.757192
90820.381054,0.001732,-0.000554,-0.001226,-0.050438,-0.308223,-0.949976,-0.633760,-0.080590,0.136078,0.757190
90820.386035,0.001741,-0.000554,-0.001227,-0.050447,-0.308223,-0.949976,-0.633758,-0.080586,0.136081,0.757191
90820.391017,0.001328,-0.000531,-0.000501,-0.050522,-0.308185,-0.949984,-0.633762,-0.080545,0.136090,0.757191
90820.395999,0.001330,-0.000540,-0.000498,-0.050524,-0.308176,-0.949987,-0.633758,-0.080540,0.136088,0.757195
90820.400981,0.001573,-0.000339,0.001390,-0.050569,-0.308087,-0.950013,-0.633762,-0.080493,0.136067,0.757200
90820.405962,0.001568,-0.000354,0.001395,-0.050564,-0.308072,-0.950018,-0.633764,-0.080490,0.136059,0.757200
90820.410944,0.002708,-0.000077,-0.000600,-0.050559,-0.308059,-0.950023,-0.633766,-0.080488,0.136052,0.757200
90820.415926,0.002710,-0.000085,-0.000597,-0.050562,-0.308051,-0.950025,-0.633766,-0.080485,0.136050,0.757201
90820.420908,0.000933,0.000115,-0.000215,-0.050540,-0.308099,-0.950011,-0.633760,-0.080508,0.136062,0.757201
90820.425889,0.000942,0.000107,-0.000213,-0.050549,-0.308091,-0.950013,-0.633761,-0.080502,0.136062,0.757201
90820.430871,-0.000177,-0.000423,0.000365,-0.050482,-0.308155,-0.949996,-0.633753,-0.080549,0.136066,0.757202
