t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
105775.379609,-0.001792,-0.003148,0.001925,-0.063989,0.008779,-0.997912,-0.479372,0.030195,0.011500,0.877017
105775.384591,-0.001791,-0.003218,0.001924,-0.063990,0.008849,-0.997911,-0.479372,0.030213,0.011469,0.877017
105775.389573,-0.001061,-0.002226,0.000672,-0.064018,0.008741,-0.997910,-0.479370,0.030199,0.011523,0.877018
105775.394554,-0.001067,-0.002293,0.000672,-0.064012,0.008808,-0.997910,-0.479370,0.030213,0.011492,0.877017
105775.399536,-0.000642,-0.001123,0.000931,-0.064040,0.008691,-0.997910,-0.479367,0.030197,0.011550,0.877019
105775.404518,-0.000637,-0.001191,0.000930,-0.064045,0.008759,-0.997909,-0.479369,0.030215,0.011522,0.877018
105775.409500,-0.000708,-0.001333,0.001264,-0.064080,0.008658,-0.997907,-0.479365,0.030207,0.011575,0.877019
105775.414482,-0.000705,-0.001394,0.001263,-0.064084,0.008718,-0.997906,-0.479363,0.030223,0.011549,0.877020
105775.419463,0.000916,-0.000677,0.000697,-0.064118,0.008627,-0.997905,-0.479364,0.030215,0.011597,0.877019
105775.424445,0.000912,-0.000736,0.000697,-0.064114,0.008685,-0.997905,-0.479367,0.030228,0.011571,0.877018
105775.429427,0.000722,0.000046,0.001734,-0.064137,0.008606,-0.997904,-0.479364,0.030219,0.011611,0.877019
105775.434409,0.000724,-0.000021,0.001733,-0.064140,0.008673,-0.997903,-0.479361,0.030236,0.011582,0.877020
105775.439391,0.000679,0.000687,0.001458,-0.064155,0.008605,-0.997903,-0.479355,0.030227,0.011615,0.877024
105775.444373,0.000677,0.000627,0.001458,-0.064154,0.008666,-0.997902,-0.479352,0.030241,0.011588,0.877025
105775.449354,-0.002346,-0.000362,0.001228,-0.064167,0.008617,-0.997902,-0.479347,0.030235,0.011613,0.877027
105775.454336,-0.002348,-0.000409,0.001228,-0.064165,0.008664,-0.997902,-0.479341,0.030245,0.011591,0.877031
105775.459318,-0.001631,0.001915,0.003027,-0.064195,0.008599,-0.997900,-0.479339,0.030243,0.011627,0.877032
105775.464300,-0.001612,0.001866,0.003026,-0.064215,0.008647,-0.997899,-0.479344,0.030263,0.011611,0.877028
105775.469282,0.005518,0.005992,0.009966,-0.064250,0.008657,-0.997896,-0.479347,0.030281,0.011615,0.877026
105775.474263,0.005527,0.005920,0.009965,-0.064258,0.008728,-0.997895,-0.479347,0.030302,0.011586,0.877026
105775.479245,0.002609,-0.004468,-0.003830,-0.064270,0.008741,-0.997894,-0.479344,0.030310,0.011583,0.877027
105775.484227,0.002614,-0.004504,-0.003831,-0.064275,0.008776,-0.997894,-0.479343,0.030321,0.011569,0.877027
105775.489209,0.002055,0.004900,-0.004211,-0.064265,0.008741,-0.997895,-0.479340,0.030308,0.011582,0.877029
105775.494191,0.002049,0.004885,-0.004211,-0.064259,0.008757,-0.997895,-0.479336,0.030309,0.011573,0.877032
105775.499172,0.001664,0.000183,0.003792,-0.063722,0.008362,-0.997933,-0.479332,0.029978,0.011617,0.877045
105775.504154,0.001681,0.000162,0.003791,-0.063738,0.008383,-0.997931,-0.479327,0.029991,0.011612,0.877047
105775.509136,0.001650,-0.000718,0.013938,-0.063723,0.008439,-0.997932,-0.479327,0.029997,0.011583,0.877047
105775.514118,0.001658,-0.000732,0.013938,-0.063731,0.008453,-0.997931,-0.479325,0.030005,0.011579,0.877048
105775.519100,-0.001459,0.003652,-0.001916,-0.063712,0.008601,-0.997931,-0.479324,0.030032,0.011509,0.877048
105775.524081,-0.001458,0.003621,-0.001916,-0.063712,0.008632,-0.997931,-0.479322,0.030039,0.011496,0.877050
105775.529063,-0.003908,0.001205,-0.003661,-0.064024,0.008622,-0.997911,-0.479319,0.030174,0.011575,0.877046
105775.534045,-0.003917,0.001197,-0.003660,-0.064015,0.008630,-0.997912,-0.479319,0.030172,0.011569,0.877045
105775.539027,-0.006127,0.001474,-0.004360,-0.064200,0.008795,-0.997898,-0.479319,0.030293,0.011541,0.877042
105775.544009,-0.006111,0.001462,-0.004361,-0.064217,0.008807,-0.997897,-0.479320,0.030303,0.011540,0.877041
105775.548990,0.000106,0.006547,0.014942,-0.063903,0.009246,-0.997913,-0.479330,0.030270,0.011272,0.877040
105775.553972,0.000110,0.006498,0.014941,-0.063907,0.009295,-0.997913,-0.479328,0.030284,0.011252,0.877041
105775.558954,-0.000944,-0.003140,0.005250,-0.063738,0.009015,-0.997926,-0.479329,0.030142,0.011334,0.877044
105775.563936,-0.000955,-0.003154,0.005251,-0.063727,0.009028,-0.997927,-0.479336,0.030141,0.011326,0.877041
105775.568918,-0.005785,0.003098,-0.012261,-0.063597,0.009307,-0.997932,-0.479344,0.030150,0.011173,0.877038
105775.573900,-0.005807,0.003103,-0.012259,-0.063575,0.009303,-0.997934,-0.479345,0.030140,0.011169,0.877038
105775.578881,-0.000028,0.003837,-0.003449,-0.063494,0.009286,-0.997939,-0.479343,0.030100,0.011157,0.877040
105775.583863,-0.000020,0.003786,-0.003451,-0.063502,0.009337,-0.997938,-0.479338,0.030116,0.011137,0.877043
105775.588845,0.002976,-0.008250,0.015091,-0.063477,0.009288,-0.997940,-0.479333,0.030093,0.011152,0.877046
105775.593827,0.002974,-0.008248,0.015091,-0.063475,0.009286,-0.997940,-0.479334,0.030092,0.011152,0.877046
105775.598809,0.001018,0.008973,0.000452,-0.063548,0.009429,-0.997934,-0.479339,0.030158,0.011107,0.877041
105775.603790,0.001009,0.008975,0.000452,-0.063540,0.009427,-0.997935,-0.479340,0.030154,0.011106,0.877041
105775.608772,0.002355,0.002200,-0.004092,-0.063742,0.009442,-0.997922,-0.479336,0.030246,0.011148,0.877039
105775.613754,0.002359,0.002197,-0.004093,-0.063745,0.009445,-0.997922,-0.479335,0.030249,0.011147,0.877040
105775.618736,0.003833,0.000120,0.002586,-0.064044,0.009478,-0.997902,-0.479335,0.030388,0.011205,0.877034
105775.623718,0.003841,0.000132,0.002586,-0.064053,0.009466,-0.997902,-0.479340,0.030389,0.011212,0.877032
105775.628699,0.001810,0.004367,0.003482,-0.064081,0.009747,-0.997897,-0.479349,0.030469,0.011096,0.877025
105775.633681,0.001802,0.004394,0.003483,-0.064073,0.009720,-0.997898,-0.479353,0.030459,0.011106,0.877023
105775.638663,0.000445,0.000787,0.004123,-0.064105,0.009528,-0.997898,-0.479356,0.030426,0.011198,0.877022
105775.643645,0.000438,0.000811,0.004124,-0.064098,0.009504,-0.997898,-0.479361,0.030417,0.011207,0.877019
105775.648627,-0.001020,0.000719,-0.000512,-0.064273,0.009595,-0.997886,-0.479364,0.030516,0.011209,0.877014
105775.653608,-0.001022,0.000745,-0.000511,-0.064270,0.009570,-0.997887,-0.479367,0.030509,0.011220,0.877012
105775.658590,0.000938,0.001521,0.000650,-0.064232,0.009679,-0.997888,-0.479369,0.030518,0.011163,0.877011
105775.663572,0.000937,0.001533,0.000650,-0.064230,0.009667,-0.997888,-0.479370,0.030515,0.011168,0.877011
105775.668554,-0.002163,-0.001143,-0.000011,-0.064121,0.009322,-0.997899,-0.479366,0.030384,0.011293,0.877016
105775.673536,-0.002163,-0.001122,-0.000011,-0.064121,0.009300,-0.997899,-0.479363,0.030379,0.011302,0.877018
105775.678518,-0.002351,-0.002298,0.004065,-0.064056,0.009607,-0.997900,-0.479365,0.030423,0.011152,0.877017
105775.683499,-0.002361,-0.002270,0.004066,-0.064045,0.009579,-0.997901,-0.479366,0.030412,0.011162,0.877017
