t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
142220.011684,-0.000980,0.003211,0.001112,0.006794,0.039284,-0.999205,0.683384,-0.015909,-0.012018,0.729787
142220.016666,0.001599,0.000711,-0.000841,0.006793,0.039282,-0.999205,0.683385,-0.015907,-0.012017,0.729786
142220.021648,0.001606,0.000710,-0.000841,0.006787,0.039283,-0.999205,0.683388,-0.015906,-0.012020,0.729783
142220.026630,0.002548,-0.001266,-0.003313,0.006775,0.039291,-0.999205,0.683390,-0.015904,-0.012027,0.729782
142220.031612,0.002555,-0.001271,-0.003313,0.006768,0.039296,-0.999205,0.683388,-0.015903,-0.012031,0.729783
142220.036594,0.001543,-0.004518,-0.002199,0.006758,0.039293,-0.999205,0.683388,-0.015898,-0.012033,0.729783
142220.041576,0.001555,-0.004516,-0.002199,0.006746,0.039291,-0.999205,0.683389,-0.015893,-0.012037,0.729783
142220.046558,0.000226,-0.005698,0.002165,0.006747,0.039298,-0.999205,0.683384,-0.015896,-0.012039,0.729787
142220.051540,0.000224,-0.005705,0.002165,0.006749,0.039305,-0.999204,0.683380,-0.015899,-0.012041,0.729791
142220.056522,-0.001453,-0.004856,0.006208,0.006748,0.039310,-0.999204,0.683377,-0.015900,-0.012043,0.729793
142220.061504,-0.001454,-0.004854,0.006208,0.006749,0.039308,-0.999204,0.683373,-0.015900,-0.012042,0.729797
142220.066486,-0.001489,-0.004878,0.006971,0.006753,0.039302,-0.999205,0.683369,-0.015899,-0.012039,0.729801
142220.071468,-0.001487,-0.004882,0.006971,0.006752,0.039306,-0.999204,0.683368,-0.015900,-0.012041,0.729801
142220.076450,-0.000553,-0.001112,0.003919,0.006748,0.039305,-0.999204,0.683365,-0.015899,-0.012041,0.729804
142220.081431,-0.000559,-0.001110,0.003919,0.006754,0.039303,-0.999205,0.683361,-0.015900,-0.012039,0.729809
142220.086413,-0.001590,0.001447,0.001615,0.006762,0.039310,-0.999204,0.683359,-0.015905,-0.012039,0.729810
142220.091395,-0.001593,0.001438,0.001615,0.006765,0.039318,-0.999204,0.683359,-0.015909,-0.012041,0.729809
142220.096377,-0.002272,0.003605,-0.001606,0.006773,0.039334,-0.999203,0.683360,-0.015917,-0.012044,0.729809
142220.101359,-0.002281,0.003596,-0.001606,0.006783,0.039342,-0.999203,0.683362,-0.015924,-0.012043,0.729806
142220.106341,-0.002144,0.005149,-0.000095,0.006783,0.039346,-0.999203,0.683364,-0.015925,-0.012045,0.729805
142220.111323,-0.002139,0.005147,-0.000095,0.006778,0.039348,-0.999203,0.683365,-0.015924,-0.012047,0.729803
142220.116305,-0.002410,0.003998,0.001247,0.006774,0.039352,-0.999202,0.683367,-0.015924,-0.012050,0.729802
142220.121287,-0.002405,0.003989,0.001247,0.006769,0.039361,-0.999202,0.683368,-0.015925,-0.012055,0.729801
142220.126269,-0.001327,0.002797,0.001369,0.006759,0.039363,-0.999202,0.683371,-0.015922,-0.012059,0.729798
142220.131251,-0.001320,0.002795,0.001369,0.006752,0.039365,-0.999202,0.683372,-0.015920,-0.012062,0.729797
142220.136233,-0.002060,0.000978,0.002696,0.006744,0.039366,-0.999202,0.683375,-0.015918,-0.012065,0.729794
142220.141215,-0.002058,0.000987,0.002697,0.006742,0.039358,-0.999202,0.683379,-0.015915,-0.012062,0.729790
142220.146197,-0.001166,-0.000986,0.001568,0.006751,0.039347,-0.999203,0.683380,-0.015914,-0.012056,0.729790
142220.151179,-0.001172,-0.000982,0.001568,0.006757,0.039343,-0.999203,0.683383,-0.015915,-0.012052,0.729787
142220.156161,0.000484,-0.005017,-0.000232,0.006749,0.039334,-0.999203,0.683385,-0.015909,-0.012052,0.729786
142220.161143,0.000493,-0.005019,-0.000232,0.006740,0.039336,-0.999203,0.683384,-0.015907,-0.012055,0.729786
142220.166125,-0.000026,-0.005723,0.000729,0.006740,0.039338,-0.999203,0.683381,-0.015907,-0.012056,0.729789
142220.171107,-0.000021,-0.005720,0.000729,0.006735,0.039335,-0.999203,0.683378,-0.015904,-0.012057,0.729792
142220.176089,0.002086,-0.005034,0.001858,0.006718,0.039336,-0.999203,0.683378,-0.015898,-0.012063,0.729792
142220.181071,0.002100,-0.005025,0.001859,0.006704,0.039327,-0.999204,0.683376,-0.015890,-0.012064,0.729794
142220.186053,0.001629,-0.003314,0.003904,0.006702,0.039309,-0.999205,0.683373,-0.015883,-0.012059,0.729797
142220.191035,0.001624,-0.003304,0.003905,0.006707,0.039299,-0.999205,0.683372,-0.015882,-0.012053,0.729798
142220.196017,-0.000134,-0.001731,0.004439,0.006710,0.039298,-0.999205,0.683371,-0.015882,-0.012052,0.729799
142220.200999,-0.000133,-0.001720,0.004439,0.006709,0.039287,-0.999205,0.683372,-0.015878,-0.012048,0.729798
142220.205981,-0.000074,0.000284,0.004775,0.006711,0.039282,-0.999206,0.683371,-0.015877,-0.012046,0.729799
142220.210962,-0.000084,0.000286,0.004775,0.006722,0.039280,-0.999206,0.683371,-0.015880,-0.012041,0.729799
142220.215944,-0.000185,0.002555,0.002563,0.006731,0.039269,-0.999206,0.683372,-0.015880,-0.012034,0.729798
142220.220926,-0.000188,0.002564,0.002563,0.006734,0.039260,-0.999206,0.683371,-0.015878,-0.012030,0.729799
142220.225908,0.001005,0.004140,0.001053,0.006731,0.039256,-0.999207,0.683372,-0.015876,-0.012029,0.729799
142220.230890,0.001002,0.004143,0.001053,0.006734,0.039253,-0.999207,0.683373,-0.015876,-0.012027,0.729797
142220.235872,0.001363,0.004389,-0.002579,0.006740,0.039251,-0.999207,0.683375,-0.015877,-0.012024,0.729795
142220.240854,0.001365,0.004393,-0.002578,0.006737,0.039248,-0.999207,0.683377,-0.015875,-0.012024,0.729794
142220.245836,-0.000431,0.003924,-0.002426,0.006733,0.039244,-0.999207,0.683379,-0.015872,-0.012024,0.729792
142220.250818,-0.000432,0.003918,-0.002426,0.006734,0.039250,-0.999207,0.683383,-0.015875,-0.012026,0.729788
142220.255800,-0.000365,0.000112,-0.001083,0.006728,0.039256,-0.999207,0.683386,-0.015875,-0.012030,0.729786
142220.260782,-0.000358,0.000116,-0.001083,0.006721,0.039252,-0.999207,0.683384,-0.015871,-0.012031,0.729787
142220.265764,-0.000019,-0.000499,0.001572,0.006718,0.039241,-0.999207,0.683384,-0.015866,-0.012028,0.729788
142220.270746,-0.000009,-0.000491,0.001573,0.006708,0.039233,-0.999208,0.683388,-0.015860,-0.012029,0.729784
142220.275728,-0.000868,-0.003428,0.004030,0.006697,0.039225,-0.999208,0.683391,-0.015853,-0.012029,0.729781
142220.280710,-0.000879,-0.003424,0.004030,0.006708,0.039221,-0.999208,0.683390,-0.015855,-0.012024,0.729782
142220.285692,-0.001829,-0.004830,0.006517,0.006727,0.039223,-0.999208,0.683390,-0.015863,-0.012018,0.729782
142220.290674,-0.001840,-0.004834,0.006517,0.006738,0.039228,-0.999208,0.683388,-0.015869,-0.012016,0.729784
142220.295656,-0.001092,-0.004331,0.005860,0.006738,0.039228,-0.999208,0.683386,-0.015869,-0.012016,0.729786
142220.300638,-0.001094,-0.004325,0.005861,0.006740,0.039222,-0.999208,0.683387,-0.015868,-0.012014,0.729785
142220.305620,-0.000056,-0.004353,0.004670,0.006755,0.039219,-0.999208,0.683388,-0.015872,-0.012007,0.729784
142220.310602,-0.000074,-0.004352,0.004670,0.006772,0.039218,-0.999208,0.683386,-0.015878,-0.012001,0.729786
142220.315584,-0.000758,-0.001782,0.001909,0.006786,0.039212,-0.999208,0.683384,-0.015881,-0.011994,0.729788
142220.320566,-0.000769,-0.001774,0.001909,0.006796,0.039204,-0.999208,0.683381,-0.015882,-0.011988,0.729791
142220.325548,-0.001622,0.000546,0.000734,0.006810,0.039203,-0.999208,0.683381,-0.015887,-0.011983,0.729791
142220.330530,-0.001627,0.000539,0.000734,0.006815,0.039211,-0.999208,0.683379,-0.015891,-0.011984,0.729793
142220.335512,-0.000688,0.002513,-0.000869,0.006807,0.039220,-0.999207,0.683373,-0.015891,-0.011990,0.729798
142220.340493,-0.000686,0.002510,-0.000869,0.006805,0.039222,-0.999207,0.683373,-0.015891,-0.011992,0.729798
142220.345475,-0.000642,0.003562,-0.000274,0.006806,0.039223,-0.999207,0.683375,-0.015892,-0.011992,0.729796
