t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
143355.598935,-0.035868,0.056320,-0.019370,0.168513,0.088043,-0.981760,-0.995379,0.043370,-0.085084,0.010011
143355.603917,-0.036003,0.058075,-0.019237,0.168647,0.086288,-0.981892,-0.995408,0.042447,-0.085159,0.010475
143355.608899,-0.043485,0.050563,-0.010647,0.168805,0.084584,-0.982013,-0.995433,0.041547,-0.085248,0.010967
143355.613881,-0.043631,0.052204,-0.010532,0.168951,0.082943,-0.982128,-0.995456,0.040676,-0.085331,0.011489
143355.618863,-0.053719,0.050001,-0.003522,0.169151,0.081362,-0.982226,-0.995474,0.039833,-0.085442,0.012038
143355.623845,-0.053905,0.051512,-0.003430,0.169338,0.079851,-0.982318,-0.995490,0.039023,-0.085547,0.012605
143355.628827,-0.057196,0.047295,0.001267,0.169562,0.078453,-0.982392,-0.995501,0.038269,-0.085671,0.013191
143355.633809,-0.057383,0.048569,0.001336,0.169749,0.077179,-0.982461,-0.995510,0.037575,-0.085778,0.013793
143355.638791,-0.056895,0.033272,0.015916,0.169948,0.076042,-0.982515,-0.995515,0.036949,-0.085892,0.014412
143355.643773,-0.057035,0.034294,0.015971,0.170087,0.075020,-0.982569,-0.995519,0.036380,-0.085976,0.015044
143355.648755,-0.056683,0.025718,0.025779,0.170239,0.074105,-0.982612,-0.995520,0.035864,-0.086068,0.015680
143355.653737,-0.056806,0.026588,0.025823,0.170362,0.073235,-0.982656,-0.995521,0.035369,-0.086144,0.016326
143355.658719,-0.052979,0.029329,0.021118,0.170502,0.072370,-0.982696,-0.995520,0.034877,-0.086230,0.016983
143355.663701,-0.053085,0.030203,0.021163,0.170608,0.071497,-0.982742,-0.995520,0.034380,-0.086297,0.017642
143355.668683,-0.051023,0.036529,0.019220,0.170729,0.070649,-0.982782,-0.995518,0.033895,-0.086372,0.018308
143355.673665,-0.051114,0.037339,0.019262,0.170819,0.069839,-0.982824,-0.995516,0.033429,-0.086432,0.018981
143355.678647,-0.054270,0.032825,0.024500,0.170923,0.069088,-0.982859,-0.995512,0.032992,-0.086498,0.019655
143355.683629,-0.054338,0.033521,0.024537,0.170992,0.068392,-0.982896,-0.995507,0.032584,-0.086547,0.020323
143355.688611,-0.051377,0.025034,0.031218,0.171067,0.067801,-0.982924,-0.995501,0.032228,-0.086599,0.020982
143355.693593,-0.051408,0.025500,0.031244,0.171098,0.067335,-0.982950,-0.995493,0.031937,-0.086631,0.021637
143355.698575,-0.046069,0.018679,0.035746,0.171130,0.067030,-0.982966,-0.995483,0.031727,-0.086664,0.022289
143355.703558,-0.046086,0.018814,0.035752,0.171147,0.066895,-0.982972,-0.995470,0.031602,-0.086691,0.022940
143355.708540,-0.046485,0.009006,0.045630,0.171180,0.066952,-0.982962,-0.995452,0.031575,-0.086729,0.023574
143355.713522,-0.046490,0.008760,0.045613,0.171184,0.067198,-0.982945,-0.995433,0.031646,-0.086754,0.024181
143355.718504,-0.050754,-0.002651,0.056563,0.171207,0.067669,-0.982908,-0.995410,0.031831,-0.086790,0.024768
143355.723486,-0.050762,-0.003359,0.056512,0.171215,0.068377,-0.982858,-0.995383,0.032137,-0.086823,0.025335
143355.728468,-0.053519,-0.012515,0.073485,0.171240,0.069339,-0.982786,-0.995351,0.032573,-0.086867,0.025880
143355.733450,-0.053513,-0.013719,0.073400,0.171234,0.070542,-0.982702,-0.995316,0.033131,-0.086899,0.026410
143355.738432,-0.055408,-0.026995,0.079460,0.171237,0.071978,-0.982597,-0.995276,0.033808,-0.086939,0.026920
143355.743414,-0.055412,-0.028611,0.079339,0.171242,0.073594,-0.982477,-0.995232,0.034577,-0.086983,0.027412
143355.748396,-0.057912,-0.024128,0.071675,0.171284,0.075367,-0.982335,-0.995183,0.035426,-0.087050,0.027896
143355.753378,-0.057986,-0.026013,0.071516,0.171359,0.077252,-0.982175,-0.995129,0.036331,-0.087135,0.028376
143355.758360,-0.058359,-0.008460,0.069438,0.171518,0.079230,-0.981990,-0.995069,0.037281,-0.087265,0.028852
