t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
161320.995933,-0.001879,0.009622,0.000486,0.000613,0.002067,-0.999998,-0.847278,0.001038,0.000289,-0.531148
161321.000915,-0.002788,0.008977,-0.000200,0.000667,0.001872,-0.999998,-0.847272,0.000970,0.000215,-0.531158
161321.005897,-0.002794,0.009390,-0.000200,0.000673,0.001459,-0.999999,-0.847270,0.000797,0.000102,-0.531162
161321.010878,-0.001457,0.008260,-0.000260,0.000709,0.001262,-0.999999,-0.847269,0.000723,0.000035,-0.531164
161321.015860,-0.001463,0.008666,-0.000260,0.000715,0.000856,-0.999999,-0.847266,0.000553,-0.000076,-0.531169
161321.020842,-0.001245,0.007313,-0.000031,0.000741,0.000652,-1.000000,-0.847263,0.000473,-0.000141,-0.531173
161321.025824,-0.001254,0.007731,-0.000031,0.000750,0.000234,-1.000000,-0.847261,0.000298,-0.000256,-0.531177
161321.030806,-0.003265,0.004570,0.000305,0.000778,0.000038,-1.000000,-0.847258,0.000223,-0.000319,-0.531182
161321.035788,-0.003277,0.004975,0.000305,0.000790,-0.000367,-1.000000,-0.847253,0.000054,-0.000432,-0.531189
161321.040770,-0.004453,0.001571,-0.000229,0.000806,-0.000579,-1.000000,-0.847250,-0.000031,-0.000495,-0.531195
161321.045752,-0.004464,0.001971,-0.000230,0.000817,-0.000979,-0.999999,-0.847249,-0.000198,-0.000606,-0.531196
161321.050734,-0.002894,-0.001026,0.001845,0.000819,-0.001186,-0.999999,-0.847249,-0.000285,-0.000662,-0.531195
161321.055716,-0.002907,-0.000643,0.001845,0.000832,-0.001570,-0.999998,-0.847249,-0.000444,-0.000769,-0.531195
161321.060698,-0.002410,-0.003300,0.003553,0.000823,-0.001796,-0.999998,-0.847247,-0.000542,-0.000826,-0.531199
161321.065680,-0.002414,-0.002909,0.003553,0.000827,-0.002187,-0.999997,-0.847246,-0.000707,-0.000931,-0.531200
161321.070662,-0.001581,-0.004795,0.004452,0.000803,-0.002468,-0.999997,-0.847245,-0.000832,-0.000996,-0.531201
161321.075644,-0.001583,-0.004387,0.004451,0.000804,-0.002877,-0.999996,-0.847242,-0.001005,-0.001105,-0.531205
161321.080626,0.000278,-0.000975,0.002268,0.000791,-0.003191,-0.999995,-0.847240,-0.001142,-0.001182,-0.531207
161321.085607,0.000266,-0.000559,0.002267,0.000802,-0.003607,-0.999993,-0.847240,-0.001315,-0.001298,-0.531207
161321.090589,-0.000975,0.002166,0.001197,0.000792,-0.003936,-0.999992,-0.847240,-0.001457,-0.001381,-0.531207
161321.095571,-0.000984,0.002613,0.001196,0.000801,-0.004383,-0.999990,-0.847241,-0.001644,-0.001503,-0.531204
161321.100553,0.000068,0.005764,-0.000805,0.000786,-0.004772,-0.999988,-0.847240,-0.001813,-0.001601,-0.531204
161321.105535,0.000061,0.006232,-0.000807,0.000794,-0.005240,-0.999986,-0.847235,-0.002009,-0.001728,-0.531212
161321.110517,0.000870,0.007646,-0.001313,0.000794,-0.005647,-0.999984,-0.847230,-0.002181,-0.001836,-0.531219
161321.115499,0.000846,0.008155,-0.001316,0.000817,-0.006156,-0.999981,-0.847226,-0.002391,-0.001981,-0.531223
161321.120481,-0.000640,0.008040,-0.001914,0.000823,-0.006575,-0.999978,-0.847221,-0.002567,-0.002095,-0.531230
161321.125463,-0.000652,0.008553,-0.001918,0.000835,-0.007088,-0.999975,-0.847215,-0.002781,-0.002236,-0.531238
161321.130445,-0.000060,0.004956,-0.001036,0.000839,-0.007520,-0.999971,-0.847211,-0.002963,-0.002353,-0.531243
161321.135427,-0.000085,0.005497,-0.001040,0.000864,-0.008061,-0.999967,-0.847207,-0.003185,-0.002507,-0.531247
161321.140409,0.000429,0.004001,0.000696,0.000868,-0.008533,-0.999963,-0.847202,-0.003384,-0.002634,-0.531253
161321.145391,0.000416,0.004567,0.000691,0.000881,-0.009099,-0.999958,-0.847198,-0.003621,-0.002790,-0.531258
161321.150373,0.000165,-0.000458,0.001190,0.000888,-0.009582,-0.999954,-0.847193,-0.003823,-0.002922,-0.531263
161321.155355,0.000146,0.000128,0.001184,0.000907,-0.010168,-0.999948,-0.847188,-0.004066,-0.003085,-0.531269
161321.160336,0.000744,-0.001492,0.002384,0.000919,-0.010685,-0.999942,-0.847184,-0.004282,-0.003228,-0.531272
161321.165318,0.000737,-0.000902,0.002377,0.000927,-0.011274,-0.999936,-0.847181,-0.004530,-0.003387,-0.531274
161321.170300,0.001400,-0.000160,0.002768,0.000920,-0.011788,-0.999930,-0.847179,-0.004749,-0.003521,-0.531274
161321.175282,0.001389,0.000438,0.002761,0.000931,-0.012385,-0.999923,-0.847175,-0.004999,-0.003684,-0.531278
161321.180264,0.002180,0.001535,0.004860,0.000932,-0.012948,-0.999916,-0.847169,-0.005237,-0.003835,-0.531284
161321.185246,0.002178,0.002169,0.004851,0.000935,-0.013582,-0.999907,-0.847166,-0.005505,-0.004004,-0.531285
161321.190228,0.000240,0.004569,0.002051,0.000935,-0.014167,-0.999899,-0.847162,-0.005753,-0.004160,-0.531287
161321.195210,0.000242,0.005228,0.002041,0.000933,-0.014826,-0.999890,-0.847159,-0.006033,-0.004334,-0.531287
161321.200192,0.001339,0.005330,0.004015,0.000935,-0.015447,-0.999880,-0.847155,-0.006295,-0.004499,-0.531289
161321.205174,0.001334,0.005999,0.004005,0.000940,-0.016116,-0.999870,-0.847148,-0.006577,-0.004679,-0.531296
