t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
67037.884954,0.014434,-0.003132,0.002638,-0.392180,-0.825756,0.405367,0.480662,0.497689,-0.674529,-0.257450
67037.889936,0.023008,-0.004152,-0.004580,-0.392271,-0.825697,0.405398,0.480690,0.497723,-0.674516,-0.257367
67037.894918,0.023119,-0.004216,-0.004603,-0.392382,-0.825633,0.405421,0.480725,0.497747,-0.674506,-0.257281
67037.899900,0.032983,-0.007693,-0.008921,-0.392556,-0.825528,0.405467,0.480761,0.497750,-0.674521,-0.257168
67037.904882,0.033326,-0.007868,-0.008944,-0.392899,-0.825353,0.405490,0.480828,0.497671,-0.674587,-0.257020
67037.909864,0.044746,-0.016739,-0.011199,-0.393364,-0.825104,0.405548,0.480887,0.497509,-0.674729,-0.256853
67037.914846,0.045093,-0.016975,-0.011344,-0.393711,-0.824867,0.405692,0.480877,0.497354,-0.674896,-0.256732
67037.919828,0.076429,-0.027361,-0.017987,-0.393919,-0.824690,0.405850,0.480830,0.497231,-0.675046,-0.256667
67037.924810,0.076721,-0.027536,-0.018060,-0.394211,-0.824514,0.405923,0.480824,0.497057,-0.675201,-0.256605
67037.929792,0.083672,-0.045030,-0.024759,-0.394784,-0.824233,0.405939,0.480883,0.496758,-0.675426,-0.256481
67037.934774,0.084521,-0.045427,-0.024739,-0.395632,-0.823835,0.405919,0.480985,0.496311,-0.675748,-0.256308
67037.939756,0.124623,-0.064644,-0.031512,-0.396550,-0.823418,0.405871,0.481080,0.495756,-0.676137,-0.256177
67037.944738,0.125602,-0.065044,-0.031366,-0.397528,-0.823018,0.405725,0.481196,0.495101,-0.676563,-0.256100
67037.949720,0.169918,-0.093550,-0.020290,-0.398632,-0.822603,0.405483,0.481352,0.494341,-0.677030,-0.256045
67037.954702,0.171172,-0.094017,-0.020002,-0.399886,-0.822136,0.405195,0.481530,0.493467,-0.677560,-0.255991
67037.959684,0.199100,-0.107251,-0.019016,-0.401264,-0.821613,0.404895,0.481708,0.492477,-0.678170,-0.255948
67037.964666,0.200650,-0.107859,-0.018710,-0.402814,-0.821005,0.404589,0.481893,0.491354,-0.678871,-0.255898
67037.969648,0.248988,-0.116981,-0.022255,-0.404536,-0.820305,0.404289,0.482086,0.490111,-0.679658,-0.255830
67037.974630,0.250901,-0.117794,-0.021983,-0.406450,-0.819493,0.404018,0.482286,0.488762,-0.680529,-0.255717
67037.979612,0.283480,-0.124795,-0.025770,-0.408510,-0.818564,0.403821,0.482470,0.487326,-0.681487,-0.255562
67037.984594,0.285703,-0.125881,-0.025714,-0.410734,-0.817479,0.403766,0.482616,0.485799,-0.682555,-0.255342
67037.989576,0.314409,-0.134354,-0.033727,-0.413103,-0.816222,0.403890,0.482702,0.484186,-0.683746,-0.255056
67037.994558,0.316993,-0.135818,-0.034031,-0.415686,-0.814759,0.404194,0.482745,0.482465,-0.685073,-0.254676
67037.999540,0.339429,-0.155155,-0.054798,-0.418439,-0.813121,0.404651,0.482741,0.480634,-0.686525,-0.254235
67038.004522,0.342411,-0.156988,-0.055380,-0.421421,-0.811289,0.405234,0.482710,0.478665,-0.688111,-0.253721
67038.009504,0.355144,-0.183412,-0.074695,-0.424571,-0.809310,0.405903,0.482650,0.476560,-0.689813,-0.253175
67038.014486,0.358553,-0.185558,-0.075388,-0.427981,-0.807163,0.406596,0.482601,0.474276,-0.691636,-0.252583
67038.019468,0.362561,-0.208903,-0.089446,-0.431546,-0.804937,0.407241,0.482560,0.471812,-0.693552,-0.252023
67038.024450,0.366395,-0.211258,-0.090012,-0.435380,-0.802582,0.407807,0.482557,0.469116,-0.695581,-0.251467
67038.029432,0.374535,-0.228670,-0.089743,-0.439369,-0.800169,0.408270,0.482574,0.466212,-0.697697,-0.250972
67038.034414,0.378772,-0.231210,-0.090130,-0.443607,-0.797629,0.408658,0.482621,0.463066,-0.699928,-0.250496
67038.039396,0.378967,-0.240012,-0.071941,-0.447998,-0.795007,0.408977,0.482672,0.459700,-0.702257,-0.250078
67038.044378,0.383662,-0.242833,-0.072245,-0.452693,-0.792186,0.409281,0.482750,0.456096,-0.704711,-0.249624
67038.049360,0.365077,-0.249375,-0.048598,-0.457576,-0.789215,0.409590,0.482830,0.452310,-0.707256,-0.249158
67038.054342,0.370304,-0.252624,-0.048973,-0.462803,-0.785966,0.409965,0.482938,0.448334,-0.709915,-0.248572
67038.059324,0.335274,-0.254500,-0.025516,-0.468239,-0.782518,0.410388,0.483056,0.444217,-0.712647,-0.247917
67038.064306,0.341040,-0.258249,-0.026026,-0.474005,-0.778769,0.410899,0.483203,0.439941,-0.715473,-0.247115
67038.069288,0.303107,-0.253987,-0.007131,-0.479911,-0.774806,0.411535,0.483327,0.435570,-0.718364,-0.246227
67038.074270,0.309279,-0.258286,-0.007958,-0.486083,-0.770507,0.412362,0.483435,0.431075,-0.721357,-0.245173
67038.079252,0.284467,-0.250677,0.008258,-0.492368,-0.765986,0.413327,0.483512,0.426488,-0.724411,-0.244034
67038.084234,0.290969,-0.255475,0.007191,-0.498870,-0.761188,0.414394,0.483592,0.421766,-0.727537,-0.242780
67038.089216,0.275292,-0.239946,-0.009567,-0.505410,-0.756240,0.415527,0.483645,0.416943,-0.730699,-0.241505
67038.094198,0.281951,-0.245111,-0.010781,-0.512069,-0.751074,0.416741,0.483682,0.411993,-0.733916,-0.240168
67038.099180,0.252089,-0.218228,-0.032109,-0.518752,-0.745776,0.417989,0.483698,0.406924,-0.737162,-0.238835
67038.104162,0.258883,-0.223706,-0.033357,-0.525545,-0.740299,0.419237,0.483719,0.401695,-0.740446,-0.237481
67038.109144,0.223522,-0.200751,-0.064607,-0.532314,-0.734750,0.420457,0.483722,0.396328,-0.743742,-0.236187
67038.114126,0.230304,-0.206436,-0.065861,-0.539096,-0.729065,0.421711,0.483698,0.390827,-0.747067,-0.234905
67038.119108,0.186749,-0.166060,-0.098268,-0.545803,-0.723284,0.423036,0.483627,0.385255,-0.750398,-0.233639
67038.124090,0.193513,-0.172101,-0.099770,-0.552567,-0.717243,0.424538,0.483509,0.379605,-0.753770,-0.232271
67038.129072,0.151388,-0.104269,-0.140910,-0.559332,-0.710947,0.426265,0.483319,0.373897,-0.757188,-0.230804
67038.134054,0.158268,-0.110937,-0.142893,-0.566212,-0.704279,0.428247,0.483064,0.368069,-0.760690,-0.229185
67038.139036,0.134355,-0.071126,-0.177711,-0.573075,-0.697383,0.430397,0.482740,0.362129,-0.764239,-0.227517
67038.144018,0.141284,-0.078313,-0.180009,-0.580005,-0.690196,0.432695,0.482374,0.356052,-0.767837,-0.225761
67038.149000,0.102995,-0.079708,-0.167026,-0.586806,-0.682911,0.435077,0.481947,0.349900,-0.771433,-0.224027
67038.153982,0.109772,-0.087232,-0.169569,-0.593583,-0.675387,0.437620,0.481456,0.343635,-0.775065,-0.222237
67038.158964,0.050494,-0.092974,-0.190481,-0.600146,-0.667814,0.440283,0.480872,0.337315,-0.778691,-0.220500
67038.163946,0.057019,-0.100825,-0.193368,-0.606671,-0.659963,0.443169,0.480203,0.330892,-0.782365,-0.218678
67038.168928,0.001954,-0.095705,-0.201837,-0.612992,-0.652007,0.446237,0.479429,0.324428,-0.786044,-0.216862
67038.173910,0.008220,-0.103969,-0.205172,-0.619258,-0.643743,0.449572,0.478562,0.317892,-0.789766,-0.214925
67038.178892,-0.026404,-0.069033,-0.186760,-0.625314,-0.635358,0.453102,0.477594,0.311347,-0.793482,-0.212962
67038.183874,-0.020458,-0.077672,-0.190531,-0.631260,-0.626720,0.456873,0.476538,0.304769,-0.797215,-0.210892
67038.188856,-0.045857,-0.042484,-0.182455,-0.636928,-0.618069,0.460775,0.475394,0.298227,-0.800905,-0.208838
67038.193838,-0.040377,-0.051277,-0.186540,-0.642408,-0.609276,0.464860,0.474166,0.291689,-0.804579,-0.206728
67038.198820,-0.063332,-0.030141,-0.138149,-0.647559,-0.600596,0.468990,0.472866,0.285200,-0.808181,-0.204703
67038.203802,-0.058415,-0.038830,-0.142361,-0.652477,-0.591907,0.473203,0.471499,0.278715,-0.811738,-0.202700
67038.208784,-0.073642,-0.020652,-0.053566,-0.657055,-0.583490,0.477303,0.470103,0.272268,-0.815182,-0.200876
67038.213766,-0.069287,-0.028851,-0.057488,-0.661411,-0.575290,0.481225,0.468721,0.265790,-0.818516,-0.199219
67038.218748,-0.088712,-0.007694,0.006642,-0.665469,-0.567623,0.484721,0.467404,0.259277,-0.821667,-0.197921
67038.223730,-0.084846,-0.014897,0.003593,-0.669335,-0.560420,0.487771,0.466170,0.252635,-0.824658,-0.196978
67038.228711,-0.127812,-0.002361,0.072611,-0.672954,-0.553974,0.490148,0.465066,0.245861,-0.827422,-0.196569
67038.233693,-0.124360,-0.008184,0.070819,-0.676406,-0.548152,0.491940,0.464075,0.238907,-0.829996,-0.196634
67038.238675,-0.184874,-0.020193,0.150004,-0.679597,-0.542979,0.493276,0.463140,0.231883,-0.832387,-0.197138
67038.243657,-0.181845,-0.025142,0.148764,-0.682626,-0.538029,0.494516,0.462190,0.224838,-0.834689,-0.197794
67038.248639,-0.234021,-0.035489,0.115798,-0.685549,-0.533160,0.495744,0.461224,0.217802,-0.836919,-0.198495
67038.253621,-0.231108,-0.040626,0.114339,-0.688463,-0.528024,0.497202,0.460203,0.210769,-0.839153,-0.199028
67038.258603,-0.238220,0.012066,0.068721,-0.691315,-0.522503,0.499074,0.459072,0.203815,-0.841425,-0.199287
67038.263585,-0.235507,0.006126,0.066308,-0.694027,-0.516563,0.501487,0.457789,0.197021,-0.843757,-0.199213
67038.268567,-0.173982,0.110838,0.003132,-0.696486,-0.510374,0.504406,0.456340,0.190462,-0.846125,-0.198873
67038.273549,-0.171862,0.104571,-0.000228,-0.698606,-0.504107,0.507766,0.454717,0.184151,-0.848511,-0.198367
