t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
4079.511556,-0.016699,-0.026207,-0.003771,-0.045526,-0.089821,-0.994917,-0.562889,-0.044171,-0.024299,-0.824994
4079.516538,-0.015457,-0.026434,-0.003808,-0.046769,-0.089594,-0.994880,-0.562075,-0.044598,-0.023899,-0.825537
4079.521519,-0.011775,-0.032751,-0.005859,-0.048039,-0.089335,-0.994842,-0.561262,-0.045028,-0.023478,-0.826079
4079.526501,-0.010454,-0.033055,-0.005897,-0.049360,-0.089030,-0.994805,-0.560441,-0.045467,-0.023025,-0.826625
4079.531483,-0.002571,-0.033871,-0.007459,-0.050697,-0.088687,-0.994769,-0.559622,-0.045903,-0.022553,-0.827168
4079.536464,-0.001169,-0.034212,-0.007501,-0.052099,-0.088347,-0.994726,-0.558810,-0.046368,-0.022064,-0.827704
4079.541446,0.002827,-0.029470,-0.004498,-0.053532,-0.088038,-0.994678,-0.558001,-0.046856,-0.021580,-0.828235
4079.546428,0.004343,-0.029722,-0.004559,-0.055048,-0.087785,-0.994617,-0.557187,-0.047395,-0.021098,-0.828765
4079.551409,0.002014,-0.026371,-0.012321,-0.056625,-0.087597,-0.994545,-0.556357,-0.047978,-0.020626,-0.829301
4079.556391,0.003677,-0.026525,-0.012404,-0.058289,-0.087443,-0.994463,-0.555499,-0.048607,-0.020148,-0.829850
4079.561372,0.005691,-0.026747,-0.019560,-0.060013,-0.087313,-0.994372,-0.554614,-0.049269,-0.019666,-0.830415
4079.566354,0.007515,-0.026827,-0.019664,-0.061837,-0.087232,-0.994267,-0.553703,-0.049986,-0.019180,-0.830991
4079.571336,0.009237,-0.035220,-0.021109,-0.063741,-0.087201,-0.994149,-0.552771,-0.050752,-0.018695,-0.831576
4079.576317,0.011273,-0.035260,-0.021239,-0.065777,-0.087161,-0.994020,-0.551817,-0.051572,-0.018172,-0.832171
4079.581299,0.020277,-0.056597,-0.033728,-0.067900,-0.087019,-0.993890,-0.550831,-0.052399,-0.017587,-0.832785
4079.586281,0.022522,-0.056906,-0.033857,-0.070145,-0.086710,-0.993761,-0.549810,-0.053233,-0.016902,-0.833420
4079.591262,0.038173,-0.078925,-0.017732,-0.072490,-0.086221,-0.993635,-0.548750,-0.054060,-0.016119,-0.834081
4079.596244,0.040672,-0.079576,-0.017862,-0.074989,-0.085570,-0.993506,-0.547650,-0.054909,-0.015231,-0.834765
4079.601226,0.055860,-0.099795,-0.005243,-0.077634,-0.084806,-0.993368,-0.546518,-0.055789,-0.014259,-0.835465
4079.606207,0.058683,-0.100651,-0.005395,-0.080458,-0.083950,-0.993216,-0.545349,-0.056722,-0.013205,-0.836183
4079.611189,0.063965,-0.114444,-0.017384,-0.083420,-0.082989,-0.993053,-0.544127,-0.057687,-0.012075,-0.836930
4079.616170,0.067099,-0.115520,-0.017563,-0.086554,-0.081913,-0.992874,-0.542846,-0.058696,-0.010856,-0.837708
4079.621152,0.063566,-0.122307,-0.033688,-0.089827,-0.080741,-0.992679,-0.541513,-0.059740,-0.009565,-0.838513
4079.626134,0.067017,-0.123596,-0.033902,-0.093277,-0.079453,-0.992465,-0.540124,-0.060832,-0.008185,-0.839344
4079.631115,0.063132,-0.130947,-0.054231,-0.096869,-0.078053,-0.992232,-0.538665,-0.061958,-0.006727,-0.840212
4079.636097,0.066912,-0.132469,-0.054489,-0.100649,-0.076531,-0.991974,-0.537115,-0.063136,-0.005177,-0.841127
4079.641079,0.068935,-0.147831,-0.067955,-0.104580,-0.074902,-0.991692,-0.535470,-0.064354,-0.003552,-0.842092
4079.646060,0.073062,-0.149570,-0.068269,-0.108707,-0.073163,-0.991378,-0.533733,-0.065633,-0.001840,-0.843100
4079.651042,0.077215,-0.168361,-0.086895,-0.112997,-0.071324,-0.991032,-0.531909,-0.066962,-0.000052,-0.844150
4079.656023,0.081700,-0.170329,-0.087277,-0.117482,-0.069356,-0.990650,-0.530002,-0.068349,0.001830,-0.845236
4079.661005,0.081659,-0.180052,-0.095768,-0.122125,-0.067293,-0.990231,-0.528011,-0.069787,0.003783,-0.846357
4079.665987,0.086483,-0.182227,-0.096229,-0.126949,-0.065118,-0.989770,-0.525934,-0.071284,0.005819,-0.847513
4079.670968,0.083176,-0.185960,-0.103669,-0.131882,-0.062834,-0.989272,-0.523778,-0.072810,0.007917,-0.848700
4079.675950,0.088254,-0.188382,-0.104209,-0.136960,-0.060412,-0.988733,-0.521540,-0.074375,0.010099,-0.849919
4079.680932,0.083606,-0.178417,-0.104928,-0.142138,-0.057926,-0.988150,-0.519221,-0.075980,0.012321,-0.851166
4079.685913,0.088942,-0.180937,-0.105566,-0.147474,-0.055406,-0.987513,-0.516823,-0.077659,0.014585,-0.852438
4079.690895,0.086847,-0.168780,-0.110290,-0.152933,-0.052945,-0.986817,-0.514350,-0.079421,0.016841,-0.853729
4079.695877,0.092473,-0.171187,-0.111052,-0.158559,-0.050539,-0.986055,-0.511797,-0.081287,0.019102,-0.855039
4079.700858,0.091414,-0.155596,-0.126877,-0.164305,-0.048246,-0.985229,-0.509160,-0.083250,0.021328,-0.856371
4079.705840,0.097349,-0.157790,-0.127780,-0.170240,-0.046053,-0.984326,-0.506427,-0.085340,0.023541,-0.857727
4079.710821,0.099847,-0.140024,-0.159310,-0.176263,-0.043997,-0.983359,-0.503595,-0.087521,0.025697,-0.859111
4079.715803,0.106010,-0.142064,-0.160346,-0.182426,-0.041957,-0.982324,-0.500675,-0.089787,0.027862,-0.860515
4079.720785,0.103280,-0.139866,-0.177489,-0.188653,-0.039913,-0.981232,-0.497688,-0.092099,0.030026,-0.861930
4079.725766,0.109615,-0.142015,-0.178644,-0.194988,-0.037764,-0.980078,-0.494639,-0.094452,0.032244,-0.863349
4079.730748,0.091759,-0.148238,-0.163801,-0.201378,-0.035554,-0.978868,-0.491542,-0.096834,0.034484,-0.864766
4079.735730,0.098303,-0.150573,-0.165089,-0.207923,-0.033219,-0.977581,-0.488403,-0.099273,0.036801,-0.866171
4079.740711,0.075336,-0.154995,-0.148559,-0.214542,-0.030857,-0.976227,-0.485240,-0.101760,0.039132,-0.867558
4079.745693,0.082131,-0.157474,-0.150002,-0.221337,-0.028379,-0.974784,-0.482040,-0.104318,0.041541,-0.868924
4079.750674,0.065439,-0.134080,-0.148251,-0.228204,-0.025862,-0.973270,-0.478808,-0.106921,0.043967,-0.870274
4079.755656,0.072420,-0.136711,-0.149848,-0.235186,-0.023232,-0.971673,-0.475539,-0.109571,0.046453,-0.871607
4079.760638,0.053116,-0.101347,-0.125422,-0.242142,-0.020647,-0.970021,-0.472234,-0.112244,0.048895,-0.872929
4079.765619,0.060138,-0.103946,-0.127151,-0.249164,-0.018048,-0.968293,-0.468873,-0.114969,0.051338,-0.874245
4079.770601,0.034615,-0.083474,-0.110509,-0.256127,-0.015571,-0.966518,-0.465458,-0.117722,0.053690,-0.875562
4079.775583,0.041638,-0.085954,-0.112360,-0.263149,-0.013091,-0.964666,-0.461977,-0.120528,0.056035,-0.876875
4079.780564,0.019360,-0.069451,-0.118899,-0.270123,-0.010749,-0.962766,-0.458448,-0.123370,0.058284,-0.878185
4079.785546,0.026412,-0.071812,-0.120882,-0.277175,-0.008388,-0.960783,-0.454869,-0.126268,0.060538,-0.879480
4079.790528,0.003876,-0.061722,-0.125320,-0.284165,-0.006134,-0.958756,-0.451265,-0.129189,0.062709,-0.880760
4079.795509,0.010943,-0.064058,-0.127431,-0.291232,-0.003798,-0.956645,-0.447624,-0.132150,0.064914,-0.882017
4079.800491,-0.012395,-0.062766,-0.121648,-0.298229,-0.001520,-0.954493,-0.443957,-0.135118,0.067055,-0.883260
4079.805472,-0.005316,-0.065239,-0.123888,-0.305307,0.000954,-0.952253,-0.440253,-0.138106,0.069282,-0.884480
4079.810454,-0.013963,-0.061490,-0.106791,-0.312270,0.003446,-0.949987,-0.436548,-0.141060,0.071474,-0.885675
4079.815436,-0.006958,-0.064234,-0.109136,-0.319275,0.006189,-0.947642,-0.432833,-0.144002,0.073772,-0.886835
4079.820417,-0.028170,-0.047106,-0.067939,-0.326108,0.008868,-0.945291,-0.429143,-0.146902,0.075989,-0.887965
4079.825399,-0.021269,-0.049959,-0.070379,-0.333009,0.011720,-0.942851,-0.425434,-0.149821,0.078284,-0.889062
4079.830381,-0.038901,-0.041051,-0.055845,-0.339761,0.014394,-0.940401,-0.421721,-0.152734,0.080446,-0.890142
4079.835362,-0.032074,-0.043860,-0.058387,-0.346588,0.017203,-0.937860,-0.417957,-0.155682,0.082663,-0.891203
4079.840344,-0.035848,-0.026986,-0.061928,-0.353236,0.019784,-0.935325,-0.414186,-0.158620,0.084718,-0.892252
4079.845325,-0.029127,-0.029737,-0.064556,-0.359956,0.022535,-0.932697,-0.410379,-0.161583,0.086847,-0.893274
4079.850307,-0.044034,0.013884,-0.046163,-0.366473,0.024949,-0.930094,-0.406594,-0.164543,0.088761,-0.894275
4079.855289,-0.037435,0.011413,-0.048860,-0.373072,0.027420,-0.927397,-0.402773,-0.167557,0.090698,-0.895250
4079.860270,-0.052343,0.049690,-0.030861,-0.379466,0.029472,-0.924736,-0.398937,-0.170584,0.092374,-0.896224
4079.865252,-0.045965,0.047694,-0.033569,-0.385843,0.031468,-0.922028,-0.395016,-0.173645,0.093988,-0.897205
4079.870234,-0.045784,0.064489,0.007174,-0.391991,0.033045,-0.919375,-0.391052,-0.176706,0.095328,-0.898201
4079.875215,-0.039708,0.063016,0.004506,-0.398067,0.034518,-0.916707,-0.387011,-0.179780,0.096570,-0.899208
