t,ua_x,ua_y,ua_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z
44326.993264,-0.012167,-0.018281,0.056759,0.064489,0.085740,-0.994228,0.780124,-0.053698,-0.001571,0.623314
44326.999491,-0.012787,-0.017588,0.056778,0.065109,0.085047,-0.994247,0.780078,-0.053620,-0.001117,0.623379
44327.003253,-0.022013,-0.024641,0.062731,0.065547,0.084685,-0.994250,0.780039,-0.053615,-0.000835,0.623429
44327.008235,-0.022656,-0.024228,0.062724,0.066189,0.084271,-0.994242,0.779977,-0.053654,-0.000460,0.623504
44327.013217,-0.029452,-0.028299,0.052159,0.066882,0.083963,-0.994222,0.779903,-0.053750,-0.000099,0.623588
44327.018199,-0.030211,-0.028073,0.052127,0.067641,0.083737,-0.994190,0.779810,-0.053900,0.000261,0.623691
44327.023180,-0.012987,-0.015246,0.027608,0.068483,0.083574,-0.994146,0.779696,-0.054100,0.000632,0.623817
44327.028162,-0.013905,-0.015117,0.027555,0.069401,0.083446,-0.994093,0.779561,-0.054338,0.001021,0.623963
44327.033144,-0.003543,-0.000225,0.012482,0.070361,0.083339,-0.994034,0.779407,-0.054598,0.001417,0.624133
44327.038126,-0.004537,-0.000090,0.012422,0.071355,0.083205,-0.993975,0.779217,-0.054858,0.001832,0.624347
44327.043108,0.004380,0.004985,0.001464,0.072387,0.083074,-0.993911,0.778983,-0.055131,0.002256,0.624613
44327.048090,0.003309,0.005033,0.001390,0.073458,0.083025,-0.993836,0.778715,-0.055450,0.002668,0.624917
44327.053072,0.010808,0.015574,0.001270,0.074534,0.083135,-0.993747,0.778428,-0.055833,0.003030,0.625239
44327.058053,0.010032,0.015540,0.001208,0.075310,0.083169,-0.993686,0.778148,-0.056092,0.003298,0.625563
44327.063035,0.011007,0.056766,0.002298,0.076075,0.082943,-0.993646,0.777847,-0.056246,0.003641,0.625921
44327.068017,0.009859,0.057032,0.002232,0.077223,0.082678,-0.993580,0.777490,-0.056506,0.004141,0.626338
