Weight (lbs):,111.13026281173174
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.22,-0.88,3353,0.96,7186
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.13,-0.79,7186,0.62,7020
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.28,0.00,19978,1.24,7186
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.92,-6.49,6895,9.90,7061
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.36,-14,7103,7.31,7270
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.06,0.00,19978,16,7103
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.03,-0.37,3811,0.04,7561
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.07,-0.29,19978,0.13,7103
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.19,0.00,0,0.38,978
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,1.31,7145
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.23,0.00,19978,0.32,6978
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,1.31,7145
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.37,6895,2.19,7061
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.10,0.00,19978,0.81,7270
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.58,6853,2.19,7061
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
2,0.02,-0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
3,0.06,-0.03,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
4,0.10,-0.10,0.04,0.11,-2.20,0.38,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.04,0.85
5,0.14,-0.21,0.05,0.22,-3.21,0.53,3.25,-0.00,0.00,0.01,0.00,0.00,0.00,0.73,0.06,0.74
6,0.19,-0.36,0.08,0.37,-3.86,0.54,3.90,-0.01,0.01,0.02,0.00,0.00,0.00,0.66,0.06,0.66
7,0.23,-0.52,0.10,0.53,-3.70,0.49,3.74,-0.03,0.01,0.04,0.00,0.01,0.01,0.68,0.05,0.68
8,0.27,-0.66,0.12,0.67,-2.71,0.42,2.74,-0.06,0.02,0.06,0.00,0.01,0.01,0.79,0.05,0.79
9,0.31,-0.74,0.14,0.76,-1.34,0.44,1.41,-0.09,0.02,0.09,0.00,0.01,0.01,0.94,0.05,0.94
10,0.35,-0.77,0.15,0.79,0.01,0.44,0.44,-0.13,0.03,0.13,0.00,0.01,0.01,1.09,0.05,1.09
11,0.40,-0.75,0.17,0.77,1.02,0.30,1.06,-0.16,0.03,0.16,0.00,0.01,0.01,1.20,0.03,1.20
12,0.44,-0.70,0.18,0.72,1.47,0.14,1.48,-0.19,0.04,0.19,0.00,0.00,0.00,1.25,0.02,1.25
13,0.48,-0.63,0.18,0.65,1.68,-0.07,1.68,-0.22,0.05,0.22,0.00,0.00,0.00,1.28,0.00,1.28
14,0.52,-0.56,0.17,0.58,1.72,-0.29,1.74,-0.24,0.06,0.25,0.00,0.00,0.00,1.28,0.00,1.28
15,0.56,-0.49,0.16,0.52,1.50,-0.37,1.55,-0.26,0.06,0.27,0.00,0.00,0.00,1.26,0.00,1.26
