filename,set_id,sha256,bytes,resolution,fps,codec,duration_s,url,key,note
20260424-BN-1.mov,20260424-BN-1,d71d6b834d892ca8c171abc12eb3e25d152741c603ca2b46d522d46f9f5c8504,35781942,2160x3050,24.03,hevc,20.0,,20240424-BN-1.mov,year typo 2024->2026; GT: SB/WL
20260424-BN-2.mov,20260424-BN-2,9c0f9fad435370699ca7dfb71a1442ef354b0e5594fdc69a62d7df7c1e8236e3,66420572,3840x2160,23.58,h264,14.1,,20240424-BN-2.mov,year typo; NO GT yet
20260527-SQ-1.mov,20260527-SQ-1,9a6d5ef7fa39afad3679ba004e94062efceed4a195b8f7d475423b76be16118e,205343330,3840x2160,23.95,h264,44.8,,20260527-SQ-1.mov,GT: Metric/SB/WL
20260529-DL-1.mov,20260529-DL-1,df0ba1b0d677989217cb4650342999decb3acdc138ad02d3e8ab816fbcc554d2,52979160,1920x1080,59.54,hevc,35.4,,20260529-DL-1.mov,top set; GT: stance/metric/SB/WL
20260529-DL-2.mov,20260529-DL-2,f4d8343470042185c6fb3a90dc2abc1707b0cbfeef59ceef82a0a1f57bffb799,42028814,1920x1080,59.26,hevc,27.8,,20260529-DL-2.mov,backoff; NO GT yet
20260529-DL-3.mov,20260529-DL-3,6ab0aa01a91c0a2e6ad7f2867e78fdb01127108c90cb2281bcb4c6d964bca209,57203519,1920x1080,59.92,hevc,38.7,,20260529-DL-3.mov,backoff; GT: stance/metric/SB/WL
20260529-DL-4.mov,20260529-DL-4,b4100f743bc55e4259555bc7c6487a33457fb64607a9ad51a2cf11b74a50c7a4,52010109,1920x1080,59.11,hevc,34.0,,20260529-DL-4.mov,backoff; NO GT yet
20260602-BN-1.mov,20260602-BN-1,f9f8f2d76a584047bb4542bd86d18219a609f0cae1fcb79919dcda510d308dc8,35308478,1032x580,30.0,hevc,25.2,,20260602-BN-1.mov,GT: SB/stance
20260602-BN-2.mov,20260602-BN-2,74960778069cd69e541828d0ed2390552a9e50ea416331e9ed141878b70553df,19771538,298x648,36.36,hevc,29.9,,20260602-BN-2.mov,GT: SB/vitruve
20260602-BN-3.mov,20260602-BN-3,cea893b841484a9882fb2bfffbb0bae2b586e6f20330fbd4b9a16b9dd7562a34,14832842,440x826,34.6,hevc,21.1,,20260602-BN-3.mov,GT: SB/vitruve
20260611-IB-2.mov,20260611-IB-2,24ca2d7b36bca27676f9b45e34b2f2de862f62d597235cd4d0872e8c82740be3,71430133,1920x1080,59.26,h264,23.4,,20260611-IB-1.mov,155lb (video1->set IB-2; 135 set unfilmed)
20260611-IB-3.mov,20260611-IB-3,de5bb0047b2d0d2530031540016e7275f65b4ddd882212429190c9c68e7769fc,72629806,1920x1080,59.64,h264,24.2,,20260611-IB-2.mov,155lb (video2->set IB-3)
20260611-IB-4.mov,20260611-IB-4,378a9e3ee613f07b174ab99d717e4a618ffafe39c6896cce70a0bce04d676933,101942707,1920x1080,59.65,h264,33.9,,20260611-IB-3.mov,"175lb (video3->set IB-4, RPE8)"
20260613-DL-1.mov,20260613-DL-1,9f31e3d2ecf808aede00dd2c75eb9a016bdec88a204ea30324861c54705bca98,293338519,3840x2160,81.43,hevc,20.9,,20260613-DL-1.mov,"4K 3840x2160 ~81fps HEVC, iPhone display rotation=-90 (portrait; PyAVDecoder now auto-rotates). Dark round-iron, diagonal. AUTO CV (zero-tap): reps_cv 5 = GT 5 EXACT."
20260613-DL-2.mov,20260613-DL-2,c55bfd8a598d40b2b61b5b351a3720cb3c6df7396006f9a4b45768280267ec20,221112619,3840x2160,82.6,hevc,15.7,,20260613-DL-2.mov,"4K 3840x2160 ~83fps HEVC, rotation=-90. Dark round-iron, 3-rep warmup. AUTO CV (zero-tap): reps_cv 3 = GT 3 EXACT."
20260613-DL-3.mov,20260613-DL-3,375dab6bfd79b99411d7d041c4edd089ae2c705c447177cc0fe58998c25c0d52,226860781,3840x2160,82.52,hevc,16.1,,20260613-DL-3.mov,"4K 3840x2160 ~83fps HEVC, rotation=-90. Dark round-iron, 2-rep warmup. AUTO CV (zero-tap): reps_cv 2 = GT 2 EXACT."
20260613-DL-4.mov,20260613-DL-4,3ab8c8e8839928f8cce9720530eed9a7f1c4c29bd53685f010b805cd65995e91,209050973,3840x2160,83.0,hevc,14.8,,20260613-DL-4.mov,"4K 3840x2160 ~83fps HEVC, rotation=-90. Dark round-iron, 2-rep warmup. AUTO CV (zero-tap): reps_cv 2 = GT 2 EXACT."
20260613-DL-5.mov,20260613-DL-5,38bfec036552e3c78b7c3740be706d8240ee0805bb0a47c67d13fa106d8189c7,527110220,3840x2160,79.77,hevc,37.5,,20260613-DL-5.mov,"4K 3840x2160 ~80fps HEVC, rotation=-90, 37.5s working set of 8. CV (ONE-TAP yellow-hub plate): reps_cv 8 = GT 8 EXACT; velocity-loss 29.0% vs Vitruve 29.7%."
20260613-DL-6.mov,20260613-DL-6,751dafacd66af59f13dc36d6da0f49ef7cb95f1e60949ce4daf2abdba1d85168,116676857,2160x3840,20.0,h264,43.2,,20260613-DL-6.mov,"PORTRAIT 2160x3840 20fps h264, rotation=0 - a DIFFERENT capture from DL-1..5. Working set of 8. AUTO CV (zero-tap): reps_cv 8 = GT 8 EXACT; velocity-loss 11.9% vs Vitruve 9.4%."
20260615-ROW-1.mov,20260615-ROW-1,ee62f7a31c40ded6cc113957452c9bd5deecf8fe41666cff713fbd348b1eae0b,53771701,1920x1080,59.25,h264,17.8,,20260615-ROW-1.mov,Barbell Row 2026-06-15 (Vitruve GT + watch IMU + SmartBarbell); pending probe+CV
20260615-ROW-2.mov,20260615-ROW-2,b98c437abd2d1a9382418cd7fbfcfcc854167752296b50add88a9455d9f0cab2,55380865,1920x1080,59.03,h264,18.1,,20260615-ROW-2.mov,Barbell Row 2026-06-15 (Vitruve GT + watch IMU + SmartBarbell); pending probe+CV
